,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Audi A3 ,2.0 TDI 150 Quattro Ambition,"€ 9 800,-",Pas d'information,97 690 km,Boîte manuelle,04/2013,Diesel,110 kW (150 CH),,
1,Audi A3 ,sportback 2.0 tdi 150 business line,"€ 11 700,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
2,Audi A3 ,2.0 TDI 150 Business Line,"€ 12 800,-",Pas d'information,124 000 km,Boîte manuelle,07/2016,Diesel,110 kW (150 CH),,
3,Audi A3 ,SportBack 3.2 Quattro Ambition Luxe S-Tronic A,"€ 16 500,-",Prix correct,123 242 km,Boîte automatique,10/2008,Essence,184 kW (250 CH),,
4,Audi A3 ,2.0 TDI 150 Quattro S Line,"€ 10 200,-",Bon prix,180 000 km,Boîte manuelle,03/2013,Diesel,110 kW (150 CH),,
5,Audi A3 ,Sportback 2.0 TDI 150 Quattro S Line,"€ 13 500,-",Très bon prix,175 000 km,Boîte manuelle,01/2018,Diesel,110 kW (150 CH),,
6,Audi A3 ,30 TFSI 116CH BUSINESS LINE S TRONIC 7,"€ 17 490,-",Pas d'information,51 804 km,- Boîte,12/2018,Essence,87 kW (118 CH),,
7,Audi A3 ,1.4 TFSI 122CH AMBITION 3P,"€ 8 990,-",Prix correct,188 321 km,Boîte manuelle,06/2013,Essence,91 kW (124 CH),,
8,Audi A3 ,SportBack 1.9 TDI Ambiente,"€ 3 500,-",Bon prix,198 000 km,Boîte manuelle,04/2005,Diesel,77 kW (105 CH),,
9,Audi A3 ,Sportback 1.6 TDI 110 Business Line S tronic 7,"€ 15 999,-",Pas d'information,125 000 km,Boîte automatique,12/2014,Diesel,81 kW (110 CH),,
10,Audi A3 ,A3 *1ER MAIN *LOOK S-LINE *CLIM BI-ZONE *CAPTEURS,"€ 16 450,-",Bon prix,82 000 km,Boîte automatique,05/2019,Diesel,85 kW (116 CH),,
11,Audi A3 ,Sportback 1.6 TDI 110 Advanced S tronic 7,"€ 10 900,-",Très bon prix,245 000 km,Boîte automatique,01/2017,Diesel,81 kW (110 CH),,
12,Audi A3 ,Sportback 2.0 TDI 150 Quattro S Line,"€ 17 000,-",Pas d'information,169 000 km,Boîte manuelle,12/2015,Diesel,110 kW (150 CH),,
13,Audi A3 ,Sportback 2.0 TDI 150 S Line,"€ 14 000,-",Bon prix,110 000 km,Boîte manuelle,12/2013,Diesel,110 kW (150 CH),,
14,Audi A3 ,1.8 TFSI 160CH S LINE,"€ 9 990,-",Bon prix,115 434 km,Boîte manuelle,01/2011,Essence,119 kW (162 CH),,
15,Audi A3 ,1.2 TFSI 105 S line MOTEUR HS,"€ 3 800,-",Pas d'information,166 700 km,Boîte manuelle,03/2012,Essence,77 kW (105 CH),,
