,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,BMW 850 ,M850iA 530ch xDrive,"€ 78 990,-",Pas d'information,60 422 km,Boîte automatique,11/2019,Essence,396 kW (538 CH),,
1,BMW 850 ,850i xDrive 530 BVA8 M,"€ 64 500,-",Pas d'information,76 909 km,Boîte automatique,02/2019,Essence,390 kW (530 CH),,
2,BMW 850 ,M850iA 530ch xDrive,"€ 73 990,-",Pas d'information,53 353 km,Boîte automatique,11/2018,Essence,396 kW (538 CH),,
3,BMW 840 ,840dA 320ch xDrive M Sport,"€ 73 990,-",Pas d'information,19 426 km,Boîte automatique,03/2019,Diesel,239 kW (325 CH),,
4,BMW 840 ,SERIE 8 COUPE 840 X DRIVE MSPORT 320CH BVA8,"€ 65 000,-",Bon prix,12 600 km,Boîte automatique,10/2020,Diesel,235 kW (320 CH),,
5,BMW 840 ,"D XDRIVE AS CABRIO M PACK ***NP: € 127.800,-***","€ 64 950,-",Prix correct,65 000 km,Boîte automatique,11/2020,Diesel,235 kW (320 CH),,
6,BMW 840 ,GRAN COUPE M-Pack PANO LASER HK Soft Close,"€ 64 900,-",Pas d'information,27 046 km,Boîte automatique,03/2020,Essence,250 kW (340 CH),,
7,BMW 840 ,D Xa M-PackFull Laser Carbone Individual Seats,"€ 50 990,-",Bon prix,93 545 km,Boîte automatique,02/2019,Diesel,235 kW (320 CH),,
8,BMW 840 ,840i xDrive Gran Coupe,"€ 97 450,-",Pas d'information,3 486 km,Boîte automatique,03/2023,Essence,245 kW (333 CH),,
9,BMW 850 ,M850 i Cabrio xDrive Shadow/HUD/Harman Kardon,"€ 62 850,-",Pas d'information,89 000 km,Boîte automatique,04/2019,Essence,390 kW (530 CH),,
10,BMW 840 ,840dA 320ch xDrive M Sport Technic,"€ 59 900,-",Très bon prix,58 051 km,Boîte automatique,04/2019,Diesel,239 kW (325 CH),,
11,BMW 840 ,8-Series 840Ci 2dr Coupe,"€ 34 500,-",Pas d'information,109 989 km,Boîte automatique,01/1994,Essence,- kW (- CH),,
12,BMW 840 ,SERIE 8 COUPE G15 xDrive 320 BVA8 M Sport Techic,"€ 58 990,-",Bon prix,29 500 km,Boîte automatique,11/2018,Diesel,235 kW (320 CH),,
13,BMW 840 ,D xDrive M-PACK / 360CAM/ HARMANK,"€ 87 950,-",Bon prix,953 km,Boîte automatique,04/2023,Diesel,250 kW (340 CH),,
14,BMW 840 ,dXAS*M-pack *Geklimatiseerde zetels*Bowers\u0026wi,"€ 62 920,-",Prix correct,66 118 km,Boîte automatique,01/2020,Diesel,235 kW (320 CH),,
15,BMW 850 ,M850iA 530ch xDrive,"€ 66 990,-",Pas d'information,108 164 km,Boîte automatique,02/2019,Essence,396 kW (538 CH),,
16,BMW 850 ,CSI,"€ 74 000,-",Pas d'information,110 000 km,Boîte manuelle,03/1993,Essence,280 kW (381 CH),,
17,BMW 850 ,SERIE 8 E31 (08/1990-07/1999) A,"€ 35 000,-",Pas d'information,102 000 km,Boîte manuelle,07/1991,Essence,221 kW (300 CH),,
18,BMW 840 ,CIA 4.0,"€ 65 000,-",Pas d'information,61 953 km,Boîte automatique,08/1993,Essence,210 kW (286 CH),,
19,BMW 850 ,M xDrive Cabrio FULL OPTION,"€ 72 500,-",Pas d'information,24 000 km,Boîte automatique,02/2019,Essence,390 kW (530 CH),,
20,BMW 850 ,M850iA 530ch xDrive,"€ 78 990,-",Pas d'information,60 422 km,Boîte automatique,11/2019,Essence,396 kW (538 CH),,
21,BMW 850 ,850i xDrive 530 BVA8 M,"€ 64 500,-",Pas d'information,76 909 km,Boîte automatique,02/2019,Essence,390 kW (530 CH),,
22,BMW 850 ,M850iA 530ch xDrive,"€ 73 990,-",Pas d'information,53 353 km,Boîte automatique,11/2018,Essence,396 kW (538 CH),,
23,BMW 840 ,840dA 320ch xDrive M Sport,"€ 73 990,-",Pas d'information,19 426 km,Boîte automatique,03/2019,Diesel,239 kW (325 CH),,
24,BMW 840 ,SERIE 8 COUPE 840 X DRIVE MSPORT 320CH BVA8,"€ 65 000,-",Bon prix,12 600 km,Boîte automatique,10/2020,Diesel,235 kW (320 CH),,
25,BMW 840 ,"D XDRIVE AS CABRIO M PACK ***NP: € 127.800,-***","€ 64 950,-",Prix correct,65 000 km,Boîte automatique,11/2020,Diesel,235 kW (320 CH),,
26,BMW 840 ,GRAN COUPE M-Pack PANO LASER HK Soft Close,"€ 64 900,-",Pas d'information,27 046 km,Boîte automatique,03/2020,Essence,250 kW (340 CH),,
27,BMW 840 ,D Xa M-PackFull Laser Carbone Individual Seats,"€ 50 990,-",Bon prix,93 545 km,Boîte automatique,02/2019,Diesel,235 kW (320 CH),,
28,BMW 840 ,840i xDrive Gran Coupe,"€ 97 450,-",Pas d'information,3 486 km,Boîte automatique,03/2023,Essence,245 kW (333 CH),,
29,BMW 850 ,M850 i Cabrio xDrive Shadow/HUD/Harman Kardon,"€ 62 850,-",Pas d'information,89 000 km,Boîte automatique,04/2019,Essence,390 kW (530 CH),,
30,BMW 840 ,840dA 320ch xDrive M Sport Technic,"€ 59 900,-",Très bon prix,58 051 km,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,BMW 850 ,M850iA 530ch xDrive,"€ 78 990,-",Pas d'information,60 422 km,Boîte automatique,11/2019,Essence,396 kW (538 CH),,
41,BMW 850 ,850i xDrive 530 BVA8 M,"€ 64 500,-",Pas d'information,76 909 km,Boîte automatique,02/2019,Essence,390 kW (530 CH),,
42,BMW 850 ,M850iA 530ch xDrive,"€ 73 990,-",Pas d'information,53 353 km,Boîte automatique,11/2018,Essence,396 kW (538 CH),,
43,BMW 840 ,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,BMW 850 ,M850iA 530ch xDrive,"€ 73 800,-",Pas d'information,63 800 km,Boîte automatique,10/2019,Essence,396 kW (538 CH),,
61,BMW 850 ,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
