,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Citroen DS3 ,THP 150 Sport Chic,"€ 4 800,-",Bon prix,151 400 km,Boîte manuelle,08/2010,Essence,115 kW (156 CH),,
1,Citroen DS3 ,1.6 THP 150CH SPORT CHIC,"€ 6 990,-",Très bon prix,94 482 km,Boîte manuelle,03/2011,Essence,116 kW (158 CH),,
2,Citroen DS3 ,Racing,"€ 6 500,-",Très bon prix,155 900 km,Boîte manuelle,04/2011,Essence,156 kW (212 CH),,
3,Citroen DS3 ,1.6 THP 165 Sport Chic,"€ 6 800,-",Très bon prix,136 147 km,Boîte manuelle,08/2015,Essence,88 kW (120 CH),,
4,Citroen DS3 ,1.6 THP Sport S 156 pk / FULL OPTION /,"€ 8 450,-",Très bon prix,113 156 km,Boîte manuelle,11/2014,Essence,115 kW (156 CH),,
5,Citroen DS3 ,citroën (1.6 thp 200ch racing),"€ 15 990,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
6,Citroen DS3 ,II 1.2 PureTech 110 So Chic - Première main Entret,"€ 9 990,-",Prix correct,43 173 km,Boîte manuelle,03/2015,Essence,81 kW (110 CH),,
7,Citroen DS3 ,1.6 VTI SO CHIC,"€ 3 990,-",Très bon prix,230 000 km,Boîte manuelle,07/2010,Essence,90 kW (122 CH),,
8,Citroen DS3 ,citroën (puretech 110 s&s bvm5 so chic),"€ 17 490,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
9,Citroen DS3 ,VTi 120 So Chic A,"€ 8 990,-",Pas d'information,124 364 km,Boîte automatique,10/2011,Essence,88 kW (120 CH),,
10,Citroen DS3 ,THP 155 Sport Chic 12,"€ 7 990,-",Prix correct,80 000 km,Boîte manuelle,10/2011,Essence,115 kW (156 CH),,
11,Citroen DS3 ,PureTech 110ch Emeraude Addict S\u0026S,"€ 9 999,-",Pas d'information,106 735 km,Boîte manuelle,11/2015,Essence,- kW (- CH),,
