,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Dacia Duster ,TCe 100 4x2 Confort,"€ 14 200,-",Très bon prix,10 980 km,Boîte manuelle,08/2022,Essence,74 kW (101 CH),,
1,Dacia Duster ,TCe 100 4x2 Essentiel,"€ 14 490,-",Pas d'information,10 km,Boîte manuelle,- (Année),Essence,74 kW (101 CH),,
2,Dacia Duster ,TCE 90 PRESTIGE PLUS,"€ 21 480,-",Pas d'information,20 km,Boîte manuelle,- (Année),Essence,- kW (- CH),,
3,Dacia Duster ,1.5 dci 110 aventure 4x2 2013,"€ 7 900,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
4,Dacia Duster ,Duster 1.3 TCe - 130 - COOL,"€ 18 900,-",Très bon prix,10 km,Boîte manuelle,09/2022,Essence,96 kW (131 CH),,
5,Dacia Duster ,Lauréat,"€ 7 800,-",Pas d'information,125 000 km,Boîte manuelle,05/2012,Essence,77 kW (105 CH),,
6,Dacia Duster ,1.5 dCi 110ch Prestige 4X2,"€ 13 999,-",Pas d'information,91 671 km,Boîte manuelle,07/2018,Diesel,- kW (- CH),,
7,Dacia Duster ,1.5 Blue dCi 115ch Prestige 108g 4x2 - 19,"€ 14 499,-",Pas d'information,97 581 km,Boîte manuelle,12/2019,Diesel,- kW (- CH),,
8,Dacia Duster ,1.5 dCi 110 4x4 Lauréate +,"€ 9 000,-",Bon prix,137 000 km,Boîte manuelle,10/2015,Diesel,81 kW (110 CH),,
9,Dacia Duster ,1.5 dCi 110 Black Touch,"€ 9 300,-",Pas d'information,111 809 km,Boîte manuelle,03/2017,Diesel,80 kW (109 CH),,
10,Dacia Duster ,1.5 Blue dCi 115ch Evasion 4x2 E6U,"€ 17 199,-",Pas d'information,33 521 km,Boîte manuelle,03/2021,Diesel,- kW (- CH),,
11,Dacia Duster ,1.3 TCe 130ch FAP Confort 4x2,"€ 17 499,-",Bon prix,50 km,Boîte manuelle,11/2022,Essence,97 kW (132 CH),,
12,Dacia Duster ,TCe 100 4x2 Prestige,"€ 13 500,-",Bon prix,32 000 km,Boîte manuelle,12/2019,Essence,74 kW (101 CH),,
13,Dacia Duster ,II 1.5 Blue dCi 115 Prestige,"€ 15 400,-",Prix correct,58 911 km,Boîte manuelle,08/2020,Diesel,85 kW (116 CH),,
14,Dacia Duster ,TCe 125 E6 4x2 Prestige,"€ 8 990,-",Bon prix,85 000 km,Boîte manuelle,12/2015,Essence,92 kW (125 CH),,
15,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2 - 20,"€ 16 799,-",Pas d'information,53 971 km,Boîte manuelle,06/2020,Diesel,- kW (- CH),,
16,Dacia Duster ,1.5 Blue dCi 115ch Essentiel 4x2,"€ 13 999,-",Pas d'information,40 237 km,Boîte manuelle,04/2019,Diesel,- kW (- CH),,
17,Dacia Duster ,dCi 110 EDC 4x2 Confort,"€ 11 200,-",Très bon prix,109 440 km,Boîte automatique,07/2018,Diesel,81 kW (110 CH),,
18,Dacia Duster ,1.5 dCi 110 4x2 Prestige,"€ 8 990,-",Bon prix,121 503 km,Boîte manuelle,10/2015,Diesel,81 kW (110 CH),,
19,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2,"€ 16 999,-",Pas d'information,49 604 km,Boîte manuelle,11/2019,Diesel,- kW (- CH),,
20,Dacia Duster ,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2,"€ 14 799,-",Pas d'information,74 001 km,Boîte manuelle,05/2019,Diesel,- kW (- CH),,
81,Dacia Duster ,1.3 TCe 130ch FAP Prestige 4x2 E6U,"€ 15 499,-",Pas d'information,75 450 km,Boîte manuelle,07/2020,Essence,- kW (- CH),,
82,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2,"€ 15 499,-",Pas d'information,62 735 km,Boîte manuelle,03/2019,Diesel,- kW (- CH),,
83,Dacia Duster ,Blue dCi 115 4x2 Prestige,,Très bon prix,98 000 km,Boîte manuelle,12/2018,Diesel,85 kW (116 CH),,
84,Dacia Duster ,BLUE DCI 115 4X2 PRESTIGE,"€ 16 490,-",Bon prix,63 678 km,Boîte manuelle,03/2021,Diesel,85 kW (116 CH),,
85,Dacia Duster ,1.5 DCI 85CH AMBIANCE 4X2,"€ 5 490,-",Très bon prix,215 500 km,Boîte manuelle,06/2010,Diesel,63 kW (86 CH),,
86,Dacia Duster ,TCe LPG 100 4x2 Access,,Prix correct,29 510 km,Boîte manuelle,05/2021,Essence,74 kW (101 CH),,
87,Dacia Duster ,II 1.5 DCI 110 Prestige 1ère Main,"€ 11 990,-",Bon prix,113 226 km,Boîte manuelle,06/2018,Diesel,81 kW (110 CH),,
88,Dacia Duster ,TCE 100 JOURNEY + 4X2,"€ 21 480,-",Prix correct,10 km,Boîte manuelle,02/2024,Essence,74 kW (101 CH),,
89,Dacia Duster ,1.5 dCi 110ch Black Touch 2017 4X2 EDC,"€ 15 199,-",Pas d'information,62 189 km,Boîte automatique,06/2017,Diesel,- kW (- CH),,
90,Dacia Duster ,"TCE 150 boite manuelle, 4x2","€ 14 990,-",Pas d'information,73 500 km,- Boîte,05/2019,Essence,110 kW (150 CH),,
91,Dacia Duster ,1.3 TCe 130ch FAP Prestige 4x2,"€ 16 999,-",Pas d'information,45 176 km,Boîte manuelle,11/2019,Essence,- kW (- CH),,
92,Dacia Duster ,PRESTIGE DCI 110 4X2,"€ 11 390,-",Bon prix,90 321 km,Boîte manuelle,05/2016,Diesel,80 kW (109 CH),,
93,Dacia Duster ,prestige 4*4,"€ 16 500,-",Pas d'information,30 000 km,Boîte manuelle,05/2016,Diesel,- kW (- CH),,
94,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2 E6U,"€ 16 999,-",Pas d'information,57 128 km,Boîte manuelle,12/2020,Diesel,- kW (- CH),,
95,Dacia Duster ,1.0 ECO-G 100ch Essential 4x2,"€ 17 900,-",Très bon prix,14 km,Boîte manuelle,03/2023,GPL,75 kW (102 CH),,
96,Dacia Duster ,BLUE DCI 115 4X2 PRESTIGE,"€ 15 999,-",Bon prix,63 639 km,Boîte manuelle,01/2021,Diesel,85 kW (116 CH),,
97,Dacia Duster ,1.3 TCe 130ch FAP Prestige 4x2,"€ 15 990,-",Pas d'information,45 723 km,Boîte manuelle,03/2019,Essence,- kW (- CH),,
98,Dacia Duster ,1.5 DCi 116 Pack Prestige,"€ 19 950,-",Pas d'information,39 000 km,Boîte manuelle,08/2019,Diesel,85 kW (116 CH),,
99,Dacia Duster ,1.5 Blue dCi 115ch Prestige 108g 4x2 - 19,"€ 16 999,-",Pas d'information,52 070 km,Boîte manuelle,12/2019,Diesel,- kW (- CH),,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,Dacia Duster ,II TCe 100 LPG Prestige Nav Cam,"€ 14 888,-",Bon prix,71 040 km,Boîte manuelle,01/2022,GPL,74 kW (101 CH),,
121,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2,"€ 15 899,-",Pas d'information,66 312 km,Boîte manuelle,01/2020,Diesel,- kW (- CH),,
122,Dacia Duster ,1.5 dci blue prestige 4x2 e6u,"€ 18 990,-",Pas d'information,10 km,Boîte manuelle,11/2020,Diesel,- kW (- CH),,
123,Dacia Duster ,1.3 TCe 150ch FAP Prestige 4x2,"€ 16 999,-",Pas d'information,53 721 km,Boîte manuelle,08/2019,Essence,- kW (- CH),,
124,Dacia Duster ,1.5 Blue dCi 95ch 4x2,"€ 12 499,-",Pas d'information,60 256 km,Boîte manuelle,11/2018,Diesel,- kW (- CH),,
125,Dacia Duster ,1.5 Blue dCi 95ch Essentiel 4x2 - 19,"€ 13 990,-",Pas d'information,75 677 km,Boîte manuelle,06/2020,Diesel,- kW (- CH),,
126,Dacia Duster ,1.0 TCe 100ch Access 121g 4x2 - 19,"€ 12 990,-",Pas d'information,70 133 km,Boîte manuelle,12/2019,Essence,- kW (- CH),,
127,Dacia Duster ,1.5 dCi 110 4x4 Prestige 3,"€ 12 990,-",Pas d'information,98 808 km,Boîte manuelle,02/2014,Diesel,81 kW (110 CH),,
128,Dacia Duster ,1.3 TCe 130ch FAP Prestige 4x2,"€ 15 899,-",Pas d'information,82 231 km,Boîte manuelle,10/2019,Essence,- kW (- CH),,
129,Dacia Duster ,Duster 4x4 PRESTIGE 1.5dci 110CH,"€ 14 490,-",Pas d'information,55 000 km,Boîte manuelle,06/2015,Diesel,81 kW (110 CH),,
130,Dacia Duster ,Blue dCi 115 4x4 Extreme,"€ 26 890,-",Pas d'information,10 km,Boîte manuelle,12/2023,Diesel,85 kW (116 CH),,
131,Dacia Duster ,1.5 DCI 90Ch LAUREATE 4X2,"€ 8 900,-",Prix correct,134 150 km,Boîte manuelle,04/2014,Diesel,66 kW (90 CH),,
132,Dacia Duster ,1.3 TCe 130ch FAP Prestige 4x2,"€ 16 499,-",Pas d'information,42 230 km,Boîte manuelle,01/2019,Essence,- kW (- CH),,
133,Dacia Duster ,1.3 TCe 150ch FAP Techroad 4x2,"€ 16 999,-",Pas d'information,49 683 km,Boîte manuelle,09/2019,Essence,- kW (- CH),,
134,Dacia Duster ,4X2 1.2 TCe 125 CV 02/2017,"€ 8 990,-",Pas d'information,115 660 km,Boîte manuelle,02/2017,Essence,92 kW (125 CH),,
135,Dacia Duster ,1.5 Blue dCi - 115 4x4 II Prestige,"€ 15 480,-",Pas d'information,113 600 km,Boîte manuelle,02/2019,Diesel,85 kW (116 CH),,
136,Dacia Duster ,1.5 Blue dCi 115ch Prestige 4x2 E6U,"€ 16 990,-",Pas d'information,42 743 km,Boîte manuelle,07/2020,Diesel,- kW (- CH),,
137,Dacia Duster ,1.5 Blue dCi 115ch Confort 108g 4x2 - 19,"€ 16 299,-",Pas d'information,50 256 km,Boîte manuelle,02/2020,Diesel,- kW (- CH),,
138,Dacia Duster ,1.5 DCI 110CH BLACK TOUCH 2017 4X2 EDC,"€ 14 490,-",Pas d'information,84 457 km,- Boîte,06/2018,Diesel,81 kW (110 CH),,
139,Dacia Duster ,TCe 150 FAP 4x2 Prestige,,Bon prix,44 500 km,Boîte manuelle,10/2020,Essence,110 kW (150 CH),,
