,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Ferrari 360 ,MODENA F1,"€ 83 900,-",Pas d'information,73 900 km,- Boîte,06/2002,Essence,- kW (- CH),,
1,Ferrari 360 ,Modena F1 1er proprietaire,"€ 83 900,-",Pas d'information,24 800 km,Boîte automatique,03/2004,Essence,294 kW (400 CH),,
2,Ferrari 360 ,BERLINETTE F1,"€ 74 990,-",Pas d'information,44 240 km,Semi-automatique,01/2000,Essence,299 kW (407 CH),,
3,Ferrari 360 ,Modena V8,"€ 109 900,-",Pas d'information,68 500 km,Boîte manuelle,03/2001,Essence,294 kW (400 CH),,
4,Ferrari 360 ,Spider V8 F1,"€ 84 900,-",Pas d'information,25 964 km,Semi-automatique,04/2002,Essence,294 kW (400 CH),,
5,Ferrari 360 ,F1 V8 3.6 400 ch/13000 Km Garanti /Distrib Ok/Jaun,"€ 98 000,-",Pas d'information,13 000 km,Boîte automatique,06/2001,Essence,294 kW (400 CH),,
6,Ferrari 360 ,Modena V8 F1,"€ 89 900,-",Pas d'information,31 800 km,Boîte automatique,11/2002,Essence,294 kW (400 CH),,
7,Ferrari 360 ,BERLINETTE,"€ 92 600,-",Pas d'information,92 460 km,Boîte manuelle,06/2002,Essence,299 kW (407 CH),,
8,Ferrari 360 ,Modena V8 F1,"€ 79 999,-",Pas d'information,47 500 km,Boîte automatique,11/2004,Essence,294 kW (400 CH),,
9,Ferrari 360 ,challenge,"€ 114 990,-",Pas d'information,11 500 km,Boîte automatique,01/2001,Essence,295 kW (401 CH),,
10,Ferrari 360 ,Spider,"€ 159 900,-",Pas d'information,48 000 km,Boîte manuelle,03/2001,Essence,294 kW (400 CH),,
11,Ferrari 360 ,Modena Coupé V8 3.6 400 ch F1 Origine France,"€ 74 990,-",Pas d'information,85 000 km,Boîte automatique,10/2000,Essence,294 kW (400 CH),,
12,Ferrari 360 ,MODENA 3.6 V8 400,"€ 73 900,-",Pas d'information,85 000 km,Boîte automatique,03/2001,Essence,294 kW (400 CH),,
13,Ferrari 360 ,Berlinette,"€ 115 900,-",Pas d'information,67 480 km,Boîte manuelle,10/2004,Essence,299 kW (407 CH),,
14,Ferrari 360 ,Boite Mécanique,"€ 129 900,-",Pas d'information,63 761 km,Boîte manuelle,08/2003,Essence,299 kW (407 CH),,
15,Ferrari 360 ,Spider,"€ 104 900,-",Pas d'information,56 520 km,Boîte manuelle,07/2003,Essence,299 kW (407 CH),,
16,Ferrari 360 ,3.6i V8 40v F1,"€ 99 900,-",Pas d'information,24 213 km,Boîte automatique,09/2003,Essence,294 kW (400 CH),,
17,Ferrari 360 ,Spider V8 F1,"€ 99 000,-",Pas d'information,56 650 km,Boîte automatique,08/2002,Essence,294 kW (400 CH),,
18,Ferrari 360 ,Spider V8 F1,"€ 87 900,-",Pas d'information,41 298 km,Boîte automatique,11/2004,Essence,294 kW (400 CH),,
19,Ferrari 360 ,Spider,"€ 99 990,-",Pas d'information,28 800 km,Boîte automatique,04/2002,Essence,294 kW (400 CH),,
20,Ferrari 360 ,MODENA SPIDER 3.6L V8 F1,"€ 84 990,-",Pas d'information,52 700 km,Boîte automatique,08/2003,Essence,294 kW (400 CH),,
21,Ferrari 360 ,Modena,"€ 113 990,-",Pas d'information,69 900 km,Boîte manuelle,05/1999,Essence,294 kW (400 CH),,
22,Ferrari 360 ,Spider V8 F1,"€ 96 000,-",Pas d'information,32 400 km,Semi-automatique,10/2001,Essence,294 kW (400 CH),,
23,Ferrari 360 ,Spider F1,"€ 94 900,-",Pas d'information,55 849 km,Semi-automatique,06/2002,Essence,299 kW (407 CH),,
24,Ferrari 360 ,Challenge,"€ 139 900,-",Pas d'information,33 159 km,- Boîte,02/2000,Essence,- kW (- CH),,
25,Ferrari 360 ,Modena V8 F1,"€ 79 900,-",Pas d'information,79 900 km,Boîte automatique,06/2000,Essence,294 kW (400 CH),,
