,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Ford Kuga ,2.0 TDCi Euro 6 - Navi - Carnet - 1er MAIN,"€ 13 250,-",Pas d'information,58 930 km,Boîte manuelle,06/2017,Diesel,110 kW (150 CH),,
1,Ford Kuga ,"2,5 T 200 TITANIUM BVM 4X4 CRIT'AIR 1","€ 12 500,-",Bon prix,108 900 km,Boîte manuelle,01/2011,Essence,147 kW (200 CH),,
2,Ford Kuga ,1.5 Flexifuel-E85 150 S&S 4x2 BVM6 Titanium,"€ 17 000,-",Très bon prix,79 000 km,Boîte manuelle,06/2019,Ethanol,110 kW (150 CH),,
3,Ford Kuga ,1.5 EcoBlue 120 S&S BVA8 ST-Line,"€ 18 490,-",Très bon prix,90 000 km,Boîte automatique,04/2021,Diesel,88 kW (120 CH),,
4,Ford Kuga ,2.5 Duratec 225ch PowerSplit PHEV Titanium eCVT,"€ 21 990,-",Très bon prix,101 311 km,Boîte automatique,04/2021,Autres,168 kW (228 CH),,
5,Ford Kuga ,2.0 TDCI 150Ch TITANIUM 4X4,"€ 14 900,-",Très bon prix,22 200 km,Boîte manuelle,06/2016,Diesel,110 kW (150 CH),,
6,Ford Kuga ,1.5 TDCi 120ch Stop\u0026Start ST-Line 4x2 Powersh,"€ 16 200,-",Pas d'information,116 800 km,- Boîte,03/2018,Diesel,90 kW (122 CH),,
7,Ford Kuga ,Kuga 2.0 TDCi - 150 4x4 II 2013 Titanium PHASE 1,"€ 10 990,-",Très bon prix,160 000 km,Boîte manuelle,02/2015,Diesel,110 kW (150 CH),,
8,Ford Kuga ,2.5 Duratec 225 ch Titanium X,"€ 21 700,-",Très bon prix,117 000 km,Boîte automatique,03/2020,Électrique/Essence,166 kW (226 CH),,
9,Ford Kuga ,1.5 EcoBoost FWD Trend,"€ 13 900,-",Bon prix,65 000 km,Boîte manuelle,03/2017,Essence,88 kW (120 CH),,
10,Ford Kuga ,"2,5T titanium Boite automatique 200 cv","€ 10 900,-",Bon prix,97 200 km,Boîte automatique,06/2009,Essence,147 kW (200 CH),,
11,Ford Kuga ,2.0 TDCI 140CH FAP INDIVIDUAL 4X4 POWERSHIFT,"€ 11 900,-",Pas d'information,134 623 km,- Boîte,10/2013,Diesel,104 kW (141 CH),,
12,Ford Kuga ,2.0 EcoBlue 150ch mHEV Titanium,"€ 21 499,-",Prix correct,53 536 km,Boîte manuelle,05/2020,Autres,112 kW (152 CH),,
