,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Hyundai H-1 ,2.5 CRDI Aut. Travel Trend+Navi+Kamera,"€ 36 369,-",,33 970 km,Boîte automatique,11/2020,Diesel,125 kW (170 CH),,
1,Hyundai H-1 ,TRAVEL 2.5 CRDI BUS 8S |1H|NAVI|CAM|2xS.TÜRE,"€ 18 990,-",,151 710 km,Boîte manuelle,08/2017,Diesel,100 kW (136 CH),,
2,Hyundai H-1 ,Travel Premium 2.5 CRDi *NAVI*PDC*CAM*AUTOMATIK*,"€ 35 900,-",,79 518 km,Boîte automatique,03/2019,Diesel,125 kW (170 CH),,
3,Hyundai H-1 ,Travel Premium Aut ** 8 Sitze ** Leder Navi,"€ 19 900,-",,157 914 km,Boîte automatique,07/2013,Diesel,125 kW (170 CH),,
4,Hyundai H-1 ,Travel Premium|8 SITZER|AUTO|LEDER|NAVI|KAMERA,"€ 31 980,-",,109 700 km,Boîte automatique,02/2020,Diesel,125 kW (170 CH),,
5,Hyundai H-1 ,2.5CRDI TOP 7,"€ 8 999,-",,150 000 km,Boîte manuelle,05/2007,Diesel,103 kW (140 CH),,
6,Hyundai H-1 ,"2.5 CRDI TRAVEL PREMIUM 8 SITZE KAMERA,AHK","€ 34 880,-",,47 777 km,Boîte automatique,01/2020,Diesel,125 kW (170 CH),,
7,Hyundai H-1 ,2.5 CRDi Premium STAREX Klima Leder,"€ 11 800,-",,219 000 km,Boîte manuelle,09/2011,Diesel,125 kW (170 CH),,
8,Hyundai H-1 ,Wagon 2.5,"€ 24 900,-",,140 000 km,Boîte manuelle,01/2013,Diesel,125 kW (170 CH),,
9,Hyundai H-1 ,2.5 d - Lichte Vracht - Radio/CD,"€ 5 990,-",,237 193 km,Boîte manuelle,03/2011,Diesel,120 kW (163 CH),,
10,Hyundai H-1 ,Leder Automatik Standheizung Facelift AHK 8S,"€ 25 500,-",,106 100 km,Boîte automatique,07/2016,Diesel,125 kW (170 CH),,
11,Hyundai H-1 ,H1 Travel 2.5CRDi Tecno Aut. 170,"€ 25 990,-",,107 000 km,Boîte automatique,09/2020,Diesel,125 kW (170 CH),,
12,Hyundai H-1 ,Travel Comfort/KLIMA x2/8 SITZE/PDC/ALU/EU 5,"€ 16 000,-",,123 000 km,Boîte automatique,01/2012,Diesel,125 kW (170 CH),,
13,Hyundai H-1 ,*Klima*7Sitzer*Automatik*Navi*,"€ 5 980,-",,44 500 km,Boîte automatique,05/2005,Diesel,103 kW (140 CH),,
14,Hyundai H-1 ,Travel 2.5 CRDi 2WD,"€ 28 990,-",,81 500 km,Boîte manuelle,11/2019,Diesel,100 kW (136 CH),,
15,Hyundai H-1 ,H 1 Kasten,"€ 1 499,-",,152 000 km,Boîte manuelle,05/2007,Diesel,103 kW (140 CH),,
