,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Mazda 3 ,2.L MZR DISI Turbo MPS,"€ 15 990,-",Pas d'information,121 600 km,Boîte manuelle,06/2012,Essence,191 kW (260 CH),,
1,Mazda 3 ,2.0L SKYACTIV-X M Hybrid 186 ch BVA6 Sportline,"€ 26 990,-",Bon prix,36 300 km,Boîte automatique,05/2022,Essence,137 kW (186 CH),,
2,Mazda 3 ,MAZDA3 5 PORTES 2.0L SA-G M HYBRID 122 CH BVM6 STY,"€ 18 900,-",Pas d'information,62 429 km,Boîte manuelle,03/2021,Essence,122 kW (166 CH),,
3,Mazda 3 ,MAZDA3 2.0 SA-G 165 DYNAMIQUE,"€ 16 900,-",Pas d'information,67 389 km,Boîte manuelle,06/2017,Essence,165 kW (224 CH),,
4,Mazda 3 ,1.6L MZ CD 110 Kamae,"€ 3 500,-",Bon prix,195 000 km,Boîte manuelle,09/2008,Diesel,80 kW (109 CH),,
5,Mazda 3 ,MAZDA3 5 PORTES 2.0L E-SA-X M HYBRID 186 CH BVA6 B,"€ 22 900,-",Pas d'information,50 429 km,Boîte automatique,05/2021,Essence,186 kW (253 CH),,
6,Mazda 3 ,1.8D / Xenon / Gps / Camera 360 / Full Options /,"€ 11 900,-",Prix correct,148 000 km,Boîte manuelle,10/2019,Diesel,85 kW (116 CH),,
7,Mazda 3 ,1.8 SKYACTIV-D 116 BUSINESS EXECUTIVE,"€ 15 500,-",Prix correct,105 900 km,Boîte manuelle,07/2020,Diesel,87 kW (118 CH),,
8,Mazda 3 ,2.0i M-HYBRID / Xenon / Gps / Cruise / HUD / PDC /,"€ 16 900,-",Prix correct,68 000 km,Boîte manuelle,10/2019,Essence,90 kW (122 CH),,
9,Mazda 3 ,1.5 skyactive Diesel 105 selection,"€ 12 990,-",Prix correct,96 154 km,Boîte manuelle,02/2024,Diesel,77 kW (105 CH),,
10,Mazda 3 ,1.8D / Xenon / Gps / Camera 360 / Full Options /,"€ 11 900,-",Prix correct,148 000 km,Boîte manuelle,10/2019,Diesel,85 kW (116 CH),,
11,Mazda 3 ,2.0i Active+*AUTOMAT*CLIM*SIEGES CHAUFFANTS*,"€ 5 990,-",Bon prix,144 609 km,Boîte automatique,07/2009,Essence,110 kW (150 CH),,
12,Mazda 3 ,Mazda3 2.2L SKYACTIV-D 150ch Dynamique,"€ 6 490,-",Prix correct,230 000 km,Boîte manuelle,08/2014,Diesel,110 kW (150 CH),,
13,Mazda 3 ,SKYACTIV-D 150 Black Limited,"€ 11 900,-",Pas d'information,163 000 km,Boîte manuelle,09/2016,Diesel,110 kW (150 CH),,
14,Mazda 3 ,1.6L MZR Kamae,"€ 3 000,-",Très bon prix,173 000 km,Boîte manuelle,12/2008,Essence,77 kW (105 CH),,
15,Mazda 3 ,2.0L e-SKYACTIV HYBRID,"€ 21 999,-",Prix correct,53 328 km,Boîte manuelle,01/2020,Électrique/Essence,132 kW (179 CH),,
16,Mazda 3 ,2.0i M-HYBRID / Xenon / Gps / Cruise / HUD / PDC /,"€ 16 900,-",Bon prix,68 000 km,Boîte manuelle,10/2019,Électrique/Essence,90 kW (122 CH),,
17,Mazda 3 ,2.0L SKYACTIV-G 120 ch Dynamique,"€ 14 990,-",Bon prix,64 163 km,Boîte manuelle,08/2018,Essence,88 kW (120 CH),,
18,Mazda 3 ,2.2 MZR-CD SHIZUKA,"€ 9 490,-",Prix correct,147 000 km,Boîte manuelle,09/2012,Diesel,138 kW (188 CH),,
19,Mazda 3 ,2.0 SKYACTIV-G 120 Dynamique BVA,"€ 14 990,-",Bon prix,84 121 km,Boîte automatique,08/2017,Essence,90 kW (122 CH),,
20,Mazda 3 ,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
