,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Mercedes-Benz E 300 ,Mercedes 2.2 300 H BLUETEC 231H 205 7G-TRONIC BVA,"€ 14 490,-",Pas d'information,167 300 km,Boîte automatique,02/2013,Autres,151 kW (205 CH),,
1,Mercedes-Benz E 220 ,220 D 194CH SPORTLINE 9G-TRONIC,,Très bon prix,279 562 km,Boîte automatique,06/2017,Diesel,145 kW (197 CH),,
2,Mercedes-Benz E 220 ,18900 ht E 220 D 194CH EXECUTIVE 9G-TRONIC,"€ 22 700,-",Bon prix,194 700 km,Boîte automatique,04/2018,Diesel,143 kW (194 CH),,
3,Mercedes-Benz E 220 ,17000 ht 220 D 194CH EXECUTIVE 9G-TRONIC,"€ 20 500,-",Bon prix,249 700 km,Boîte automatique,03/2018,Diesel,143 kW (194 CH),,
4,Mercedes-Benz E 200 ,A,"€ 15 999,-",Bon prix,131 870 km,Boîte automatique,03/2013,Diesel,100 kW (136 CH),,
5,Mercedes-Benz E 220 ,19500 ht 220 D 194CH EXECUTIVE 9G-TRONIC,"€ 23 500,-",Bon prix,179 300 km,Boîte automatique,02/2019,Diesel,143 kW (194 CH),,
6,Mercedes-Benz E 320 ,Benz E320 Cabriolet,"€ 27 800,-",Pas d'information,75 747 km,Boîte automatique,01/1994,Essence,- kW (- CH),,
7,Mercedes-Benz E 500 ,E500 LIMITED,"€ 69 900,-",Pas d'information,198 000 km,Boîte automatique,05/1994,Essence,243 kW (330 CH),,
8,Mercedes-Benz E 220 ,220 D 194CH SPORTLINE 9G-TRONIC,"€ 31 990,-",Très bon prix,82 467 km,Boîte automatique,11/2017,Diesel,143 kW (194 CH),,
9,Mercedes-Benz E 55 AMG ,Mercedes 5.4 55 475 AMG BVA-Système Son HARMAN KAR,"€ 32 789,-",Pas d'information,94 564 km,Boîte automatique,11/2004,Essence,351 kW (477 CH),,
10,Mercedes-Benz E 300 ,EQ POWER 300 e AMG Line 9G-Tronic,"€ 39 990,-",Très bon prix,38 000 km,Boîte automatique,12/2020,Autres,156 kW (212 CH),,
11,Mercedes-Benz E 300 ,Coupé 9G-Tronic Sportline,"€ 39 950,-",Très bon prix,62 500 km,Boîte automatique,05/2019,Essence,180 kW (245 CH),,
12,Mercedes-Benz E 50 AMG ,250 211CH FASCINATION 9G-TRONIC AMG,"€ 27 900,-",Pas d'information,147 490 km,Boîte automatique,05/2018,Essence,157 kW (213 CH),,
13,Mercedes-Benz E 220 ,220 D 194CH AMG LINE 9G-TRONIC,"€ 33 290,-",Prix correct,106 577 km,Boîte automatique,01/2019,Diesel,143 kW (194 CH),,
14,Mercedes-Benz E 220 ,Coupé E220 9G-Tronic PANO CAMERA CUIR AMG,"€ 19 990,-",Pas d'information,119 830 km,- Boîte,04/2015,Diesel,126 kW (171 CH),,
