,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Mitsubishi Pajero ,"DID 3,2L 200 CV BOITE AUTO 1ere MAIN (belbex A YOL","€ 23 900,-",Pas d'information,130 400 km,Boîte automatique,09/2012,Diesel,148 kW (201 CH),,
1,Mitsubishi Pajero ,III (2) 3.2 DI-D INSTYLE 30EME ANNIVERSAIRE BA,"€ 19 990,-",Pas d'information,235 725 km,Boîte automatique,03/2012,Diesel,147 kW (200 CH),,
2,Mitsubishi Pajero ,Long 3.2 DI-D 190 BVA Instyle,"€ 12 990,-",Pas d'information,210 000 km,Boîte automatique,11/2017,Diesel,140 kW (190 CH),,
3,Mitsubishi Pajero ,Long 3.2 DI-D Instyle A,"€ 21 000,-",Pas d'information,107 000 km,Boîte automatique,06/2011,Diesel,147 kW (200 CH),,
4,Mitsubishi Pajero ,Court 3.2 DI-D Instyle A,"€ 14 000,-",Pas d'information,125 000 km,Boîte automatique,10/2012,Diesel,147 kW (200 CH),,
5,Mitsubishi Pajero ,3.2 DI-D200 FAP INVITE 5P,"€ 25 900,-",Pas d'information,137 587 km,Boîte manuelle,09/2014,Diesel,149 kW (203 CH),,
6,Mitsubishi Pajero ,2.5 TD GLS,"€ 13 000,-",Pas d'information,149 730 km,- Boîte,11/2002,Diesel,- kW (- CH),,
7,Mitsubishi Pajero ,3.8 V6 MIVEC INSTYLE BA 3P,"€ 23 900,-",Pas d'information,139 102 km,Boîte automatique,08/2007,Essence,184 kW (250 CH),,
8,Mitsubishi Pajero ,5p GLS,"€ 5 000,-",Pas d'information,347 900 km,Boîte manuelle,01/1992,Diesel,73 kW (99 CH),,
9,Mitsubishi Pajero ,Pajero long 3.2 DI-D Instyle 2,"€ 14 990,-",Pas d'information,209 989 km,Boîte automatique,10/2007,Diesel,125 kW (170 CH),,
10,Mitsubishi Pajero ,long 3.2 DI-D Intense A,"€ 20 990,-",Pas d'information,129 350 km,Boîte automatique,08/2007,Diesel,125 kW (170 CH),,
11,Mitsubishi Pajero ,Long 3.2 DI-D Instyle A,"€ 18 000,-",Pas d'information,195 000 km,Boîte automatique,09/2010,Diesel,147 kW (200 CH),,
12,Mitsubishi Pajero ,3.2 DI-D Classic,"€ 9 900,-",Pas d'information,203 000 km,Boîte manuelle,04/2002,Diesel,117 kW (159 CH),,
13,Mitsubishi Pajero ,"3,2 DID INVITE 170 BVA 4WD 3P","€ 18 900,-",Pas d'information,148 710 km,Boîte automatique,04/2007,Diesel,125 kW (170 CH),,
14,Mitsubishi Pajero ,IV Long 7 places,"€ 10 500,-",Pas d'information,274 000 km,Boîte automatique,11/2007,Diesel,160 kW (218 CH),,
15,Mitsubishi Pajero ,3.2 DI-D XStorm A,"€ 12 800,-",Pas d'information,199 000 km,Boîte automatique,12/2004,Diesel,117 kW (159 CH),,
16,Mitsubishi Pajero ,DID,"€ 11 800,-",Pas d'information,158 600 km,Boîte manuelle,06/2001,Diesel,1 kW (1 CH),,
