,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Nissan Leaf ,150ch 40kWh N-CONNECTA,"€ 12 990,-",Très bon prix,41 500 km,Boîte automatique,12/2019,Electrique,111 kW (151 CH),,
1,Nissan Leaf ,Electrique 40kWh N-Connecta,"€ 16 500,-",Très bon prix,3 721 km,Boîte automatique,01/2019,Electrique,90 kW (122 CH),,
2,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 15 000,-",Très bon prix,50 731 km,Boîte automatique,12/2021,Electrique,112 kW (152 CH),,
3,Nissan Leaf ,150ch 40kWh Acenta 2018,"€ 13 999,-",Bon prix,52 802 km,Boîte automatique,07/2018,Electrique,112 kW (152 CH),,
4,Nissan Leaf ,217ch e+ 62kWh Acenta 21.5,"€ 20 999,-",Très bon prix,31 120 km,Boîte automatique,05/2022,Electrique,162 kW (220 CH),,
5,Nissan Leaf ,150CH 40KWH BUSINESS,,Bon prix,16 954 km,Boîte automatique,04/2019,Electrique,111 kW (151 CH),,
6,Nissan Leaf ,Electrique Acenta,"€ 10 900,-",Pas d'information,31 500 km,Boîte automatique,08/2013,Electrique,80 kW (109 CH),,
7,Nissan Leaf ,150ch 40kWh Tekna 2018,"€ 13 998,-",Pas d'information,92 456 km,Boîte automatique,06/2018,Electrique,112 kW (152 CH),,
8,Nissan Leaf ,150ch 40kWh N-Connecta,"€ 13 999,-",Bon prix,85 263 km,Boîte automatique,03/2019,Electrique,112 kW (152 CH),,
9,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 15 999,-",Bon prix,34 301 km,Boîte automatique,12/2021,Electrique,112 kW (152 CH),,
10,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 17 999,-",Pas d'information,19 850 km,Boîte automatique,12/2021,Electrique,- kW (- CH),,
11,Nissan Leaf ,109CH 24KWH ACENTA,"€ 8 900,-",Bon prix,48 279 km,Boîte automatique,09/2015,Electrique,81 kW (110 CH),,
12,Nissan Leaf ,150CH 40KWH TEKNA,"€ 17 900,-",Pas d'information,40 402 km,Boîte automatique,01/2019,Electrique,112 kW (152 CH),,
13,Nissan Leaf ,150ch 40kWh Tekna 21,,Prix correct,33 502 km,Boîte automatique,07/2021,Electrique,112 kW (152 CH),,
14,Nissan Leaf ,Electrique 40kWh N-Connecta,"€ 18 990,-",Pas d'information,18 540 km,Boîte automatique,07/2020,Electrique,110 kW (150 CH),,
15,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 19 990,-",Pas d'information,19 792 km,Boîte automatique,11/2021,Electrique,- kW (- CH),,
16,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 19 990,-",Pas d'information,30 231 km,Boîte automatique,11/2021,Electrique,- kW (- CH),,
17,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 18 499,-",Pas d'information,14 892 km,Boîte automatique,12/2021,Electrique,- kW (- CH),,
18,Nissan Leaf ,150ch 40kWh Tekna 19.5,,Prix correct,12 250 km,Boîte automatique,12/2020,Electrique,112 kW (152 CH),,
19,Nissan Leaf ,150ch 40kWh N-Connecta 21.5,"€ 19 790,-",Pas d'information,24 798 km,Boîte automatique,12/2021,Electrique,- kW (- CH),,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Nissan Leaf ,150ch 40kWh Acenta 21,,Très bon prix,54 012 km,Boîte automatique,12/2021,Electrique,112 kW (152 CH),,
41,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 16 499,-",Pas d'information,91 718 km,Boîte automatique,09/2021,Electrique,- kW (- CH),,
42,Nissan Leaf ,150ch 40kWh 10ème Anniversaire 21,"€ 22 900,-",Pas d'information,42 000 km,Boîte automatique,03/2021,Electrique,- kW (- CH),,
43,Nissan Leaf ,150ch 40kWh N-Connecta 21,,Très bon prix,5 278 km,Boîte automatique,05/2021,Electrique,112 kW (152 CH),,
44,Nissan Leaf ,109ch Acenta,"€ 9 499,-",Pas d'information,51 000 km,Boîte automatique,03/2016,Electrique,- kW (- CH),,
45,Nissan Leaf ,150ch 40kWh First,"€ 14 499,-",Bon prix,55 995 km,Boîte automatique,08/2019,Electrique,112 kW (152 CH),,
46,Nissan Leaf ,150ch 40kWh Acenta 2018,"€ 13 999,-",Bon prix,60 252 km,Boîte automatique,03/2019,Electrique,112 kW (152 CH),,
47,Nissan Leaf ,150ch 40kWh Acenta 2018,"€ 13 499,-",Pas d'information,74 744 km,Boîte automatique,03/2019,Electrique,- kW (- CH),,
48,Nissan Leaf ,150ch 40kWh First GPS Camera Keyless,"€ 14 998,-",Prix correct,43 227 km,Boîte automatique,11/2019,Electrique,112 kW (152 CH),,
49,Nissan Leaf ,Electrique 40kWh N-Connecta - Garantie usine,,Prix correct,15 000 km,Boîte automatique,11/2021,Electrique,110 kW (150 CH),,
50,Nissan Leaf ,150ch 40kWh Acenta Gps Camera,,Bon prix,14 823 km,Boîte automatique,02/2020,Electrique,112 kW (152 CH),,
51,Nissan Leaf ,150ch 40kWh Tekna 2018,"€ 15 999,-",Pas d'information,84 531 km,Boîte automatique,01/2019,Electrique,- kW (- CH),,
52,Nissan Leaf ,150ch 40kWh N-Connecta 19.5,"€ 17 499,-",Bon prix,19 950 km,Boîte automatique,04/2021,Electrique,112 kW (152 CH),,
53,Nissan Leaf ,150ch 40kWh Acenta 21,"€ 17 499,-",Pas d'information,35 042 km,Boîte automatique,09/2021,Electrique,- kW (- CH),,
54,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 16 499,-",Très bon prix,44 292 km,Boîte automatique,02/2022,Electrique,112 kW (152 CH),,
55,Nissan Leaf ,Electrique 62kWh Tekna + crochet d'attelage,"€ 29 999,-",Bon prix,6 300 km,Boîte automatique,12/2022,Electrique,160 kW (218 CH),,
56,Nissan Leaf ,Electrique 40kWh Tekna,"€ 15 490,-",Prix correct,61 000 km,Boîte automatique,11/2018,Electrique,110 kW (150 CH),,
57,Nissan Leaf ,Electrique 24kWh Acenta,"€ 8 900,-",Prix correct,89 000 km,Boîte automatique,03/2016,Electrique,80 kW (109 CH),,
58,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 17 490,-",Pas d'information,49 335 km,Boîte automatique,12/2021,Electrique,- kW (- CH),,
59,Nissan Leaf ,150ch 40kWh Acenta,,Bon prix,21 927 km,Boîte automatique,09/2019,Electrique,112 kW (152 CH),,
60,Nissan Leaf ,Leaf 40 ACENTA 2022 II PHASE 2,"€ 18 490,-",Prix correct,51 000 km,Boîte automatique,02/2022,Electrique,110 kW (150 CH),,
61,Nissan Leaf ,109ch 24kWh Acenta,"€ 11 498,-",Bon prix,29 287 km,Boîte automatique,08/2017,Electrique,81 kW (110 CH),,
62,Nissan Leaf ,150ch 40kWh N-Connecta,"€ 14 400,-",Bon prix,63 800 km,Boîte automatique,07/2019,Electrique,110 kW (150 CH),,
63,Nissan Leaf ,109ch 24kWh Visia,"€ 8 799,-",Bon prix,42 009 km,Boîte automatique,09/2016,Electrique,81 kW (110 CH),,
64,Nissan Leaf ,Leaf . PHASE 1,"€ 6 990,-",Bon prix,120 600 km,Boîte automatique,09/2012,Electrique,80 kW (109 CH),,
65,Nissan Leaf ,Electrique 40kWh N-Connecta,"€ 14 500,-",Prix correct,73 500 km,Boîte automatique,03/2018,Electrique,110 kW (150 CH),,
66,Nissan Leaf ,150ch 40kWh Acenta 21.5,,Bon prix,17 710 km,Boîte automatique,11/2021,Electrique,112 kW (152 CH),,
67,Nissan Leaf ,150ch 40kWh N-Connecta 21.5,"€ 17 999,-",Prix correct,19 808 km,Boîte automatique,11/2021,Electrique,112 kW (152 CH),,
68,Nissan Leaf ,150ch 40kWh Acenta 21.5,"€ 17 499,-",Pas d'information,24 720 km,Boîte automatique,11/2021,Electrique,- kW (- CH),,
69,Nissan Leaf ,40 N-CONNECTA - CAMERA DE RECUL + E-PEDAL,"€ 16 480,-",Prix correct,77 000 km,Boîte automatique,02/2020,Electrique,110 kW (150 CH),,
