,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Opel Adam ,1.0 Ecotec Direct Injection Turbo 115 ch S/S Slam,"€ 10 990,-",Prix correct,75 195 km,Boîte manuelle,02/2016,Essence,85 kW (116 CH),,
1,Opel Adam ,1.4l Twinport 87CH Unlimited - 1 MAIN,"€ 11 490,-",Prix correct,41 898 km,Boîte manuelle,06/2018,Essence,64 kW (87 CH),,
2,Opel Adam ,1.4 Twinport 87 ch S/S Black Edition,"€ 10 490,-",Pas d'information,86 539 km,Boîte manuelle,11/2018,Essence,64 kW (87 CH),,
3,Opel Adam ,1.4 TWINPORT 87CH GLAM START/STOP,"€ 7 490,-",Bon prix,99 501 km,Boîte manuelle,06/2015,Essence,65 kW (88 CH),,
4,Opel Adam ,N/A 1.4 Twinport 87 Rocks,,Prix correct,44 749 km,Boîte manuelle,03/2018,Essence,64 kW (87 CH),,
5,Opel Adam ,1.2 Twinport 70 ch Jam ETHANOL,"€ 6 500,-",Prix correct,134 650 km,Boîte manuelle,03/2014,Essence,51 kW (69 CH),,
6,Opel Adam ,1.4 TWINPORT 87 CH S/S UNLIMITED,"€ 10 990,-",Bon prix,49 871 km,Boîte manuelle,03/2019,Essence,64 kW (87 CH),,
7,Opel Adam ,1.4 Twinport 87ch Black Edition Start/Stop,"€ 9 499,-",Pas d'information,114 595 km,Boîte manuelle,04/2019,Essence,- kW (- CH),,
8,Opel Adam ,1.4 TWINPORT 87CH GLAM START/STOP,"€ 8 990,-",Prix correct,66 080 km,Boîte manuelle,06/2014,Essence,65 kW (88 CH),,
9,Opel Adam ,JAM ES 69,"€ 8 990,-",Bon prix,42 791 km,Boîte manuelle,02/2016,Essence,51 kW (69 CH),,
10,Opel Adam ,1.4 Twinport 87ch Start/Stop,"€ 11 999,-",Prix correct,34 780 km,Boîte manuelle,06/2019,Essence,65 kW (88 CH),,
11,Opel Adam ,1.4 Twinport 87 ch S/S Glam TOIT PANORAMIQUE,"€ 7 990,-",Bon prix,79 990 km,Boîte manuelle,01/2015,Essence,65 kW (88 CH),,
12,Opel Adam ,1.4 Twinport 87 ch S/S Unlimited,"€ 11 000,-",Pas d'information,59 023 km,Boîte manuelle,02/2017,Essence,64 kW (87 CH),,
13,Opel Adam ,1.0 ECOTEC INJEC TURBO 115 S/S SLAM,"€ 10 827,-",Prix correct,78 522 km,Boîte manuelle,02/2015,Essence,85 kW (116 CH),,
14,Opel Adam ,1.2 Twinport 70 ch,"€ 7 500,-",Bon prix,55 169 km,Boîte manuelle,02/2015,Essence,51 kW (69 CH),,
15,Opel Adam ,1.2 Twinport 70 Jam,"€ 8 990,-",Prix correct,41 258 km,Boîte manuelle,07/2015,Essence,51 kW (69 CH),,
16,Opel Adam ,1.4 TWINPORT 87 CH S/S UNLIMITED,"€ 10 999,-",Bon prix,42 838 km,Boîte manuelle,08/2019,Essence,64 kW (87 CH),,
17,Opel Adam ,1.4 TWINPORT 87 CH S/S UNLIMITED,"€ 11 590,-",Bon prix,33 020 km,Boîte manuelle,02/2019,Essence,64 kW (87 CH),,
18,Opel Adam ,1.4 87ch UNLIMITED,,Bon prix,34 151 km,Boîte manuelle,08/2019,Essence,64 kW (87 CH),,
19,Opel Adam ,1.2 TWINPORT 70CH JAM,"€ 8 990,-",Prix correct,46 301 km,Boîte manuelle,10/2014,Essence,52 kW (71 CH),,
20,Opel Adam ,1.4 Twinport 87ch Swingtop Start/Stop,"€ 9 995,-",Prix correct,73 516 km,Boîte manuelle,05/2016,Essence,65 kW (88 CH),,
21,Opel Adam ,1.4 100 Slam ecoFlex Temp Klima HSA,"€ 9 188,-",Prix correct,112 000 km,Boîte manuelle,05/2017,Essence,74 kW (101 CH),,
22,Opel Adam ,1.4 TWINPORT 87CH SWINGTOP START/STOP,"€ 10 990,-",Bon prix,24 008 km,Boîte manuelle,10/2016,Essence,65 kW (88 CH),,
23,Opel Adam ,1.4 Twinport 87 ch S/S Swingtop Easytronic 3.0,"€ 12 790,-",Prix correct,52 100 km,Boîte automatique,04/2017,Essence,64 kW (87 CH),,
24,Opel Adam ,1.4 Twinport 87 ch S/S Slam,"€ 7 990,-",Prix correct,117 080 km,Boîte manuelle,09/2014,Essence,64 kW (87 CH),,
25,Opel Adam ,1.4 Twinport 87ch Start/Stop,"€ 11 999,-",Pas d'information,54 963 km,Boîte manuelle,03/2019,Essence,65 kW (88 CH),,
26,Opel Adam ,1.4 TWINPORT 87CV UNLIMITED START/STOP,"€ 11 490,-",Prix correct,36 700 km,Boîte manuelle,12/2017,Essence,65 kW (88 CH),,
27,Opel Adam ,1.4l Twinport 87CH Unlimited - 1 MAIN,"€ 11 490,-",Prix correct,41 185 km,Boîte manuelle,06/2018,Essence,64 kW (87 CH),,
28,Opel Adam ,1.4 ROCKS 100CV,"€ 12 900,-",Prix correct,74 400 km,Boîte manuelle,01/2019,Essence,74 kW (101 CH),,
