,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Peugeot Expert ,2.0 Hdi L1H1 Active,"€ 16 999,-",Pas d'information,136 331 km,Boîte manuelle,07/2014,Diesel,118 kW (160 CH),,
1,Peugeot Expert ,2.0 HDI 130 CV TEPEE 8 PLACES,"€ 17 900,-",Pas d'information,105 000 km,Boîte manuelle,08/2015,Diesel,94 kW (128 CH),,
2,Peugeot Expert ,Tepee 2.0 HDI 163ch FAP Premium Long 8pl,"€ 8 950,-",Prix correct,246 000 km,Boîte manuelle,12/2010,Diesel,120 kW (163 CH),,
3,Peugeot Expert ,2.0 HDi 16V FAP - 125 COMBI Tepee Allure Long 8pl,"€ 20 980,-",Pas d'information,88 084 km,Boîte manuelle,06/2013,Diesel,94 kW (128 CH),,
4,Peugeot Expert ,Long 2.0 BlueHDi 150ch S,"€ 29 990,-",Pas d'information,82 990 km,Boîte manuelle,04/2018,Diesel,110 kW (150 CH),,
5,Peugeot Expert ,Peugeot Expert 2l 180 CH,"€ 22 500,-",Pas d'information,160 000 km,Boîte automatique,09/2017,Diesel,132 kW (179 CH),,
6,Peugeot Expert ,1.5 HDI - 8pl - GPS - Airco - Topstaat,"€ 26 990,-",Pas d'information,119 688 km,Boîte manuelle,02/2019,Diesel,88 kW (120 CH),,
7,Peugeot Expert ,long premium 180CV EAT6,"€ 51 500,-",Pas d'information,71 800 km,Boîte automatique,09/2017,Diesel,132 kW (179 CH),,
8,Peugeot Expert ,1.5 BlueHDi 120ch S&S Long,"€ 24 990,-",Prix correct,16 460 km,Boîte manuelle,05/2019,Diesel,88 kW (120 CH),,
9,Peugeot Expert ,Asphalt / EAT8 / L2,"€ 25 990,-",Bon prix,40 901 km,Boîte automatique,03/2021,Diesel,90 kW (122 CH),,
10,Peugeot Expert ,1.6 BlueHDi 95 L1 6S Klima Temp,"€ 21 488,-",Pas d'information,95 154 km,Boîte manuelle,05/2017,Diesel,70 kW (95 CH),,
11,Peugeot Expert ,1.5 BlueHDi 120ch S\u0026S Long 9 Places,"€ 30 499,-",Pas d'information,45 274 km,Boîte manuelle,12/2020,Diesel,- kW (- CH),,
12,Peugeot Expert ,1.5 BHDi 120 Reserve Regulator,"€ 27 578,-",Très bon prix,10 km,Boîte manuelle,01/2024,Diesel,88 kW (120 CH),,
