,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Porsche Macan ,GTS PDK - PanoCameraSport uitlaat,,Pas d'information,23 000 km,Boîte automatique,07/2021,Essence,280 kW (381 CH),,
1,Porsche Macan ,S PDK 3.0 V6 258,"€ 28 990,-",Très bon prix,198 185 km,Boîte automatique,10/2014,Diesel,190 kW (258 CH),,
2,Porsche Macan ,3.0 V6 258CH S DIESEL PDK,"€ 29 900,-",Pas d'information,175 310 km,- Boîte,02/2015,Diesel,193 kW (262 CH),,
3,Porsche Macan ,Turbo 3.6 V6 400 ch PDK,"€ 49 000,-",Bon prix,92 000 km,Semi-automatique,10/2016,Essence,294 kW (400 CH),,
4,Porsche Macan ,3.0 V6 Bi-Turbo GTS PDK Black Edition Etat Neuf,"€ 53 990,-",Très bon prix,53 182 km,Boîte automatique,07/2018,Essence,265 kW (360 CH),,
5,Porsche Macan ,*2-PROP.*PACK-PERF-440CH*HISTORIQUE-100%*PASM*LED*,,Très bon prix,112 000 km,Boîte automatique,07/2015,Essence,324 kW (441 CH),,
6,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 32 950,-",Très bon prix,141 000 km,Boîte automatique,04/2014,Diesel,190 kW (258 CH),,
7,Porsche Macan ,3.0 V6 258ch S Diesel PDK,"€ 37 990,-",Pas d'information,122 846 km,- Boîte,09/2015,Diesel,193 kW (262 CH),,
8,Porsche Macan ,2.0 245ch PDK,"€ 62 900,-",Pas d'information,47 100 km,- Boîte,02/2020,Essence,183 kW (249 CH),,
9,Porsche Macan ,2.0 TURBO PDK PANO CHRONO BOSE FULL OPTIONS,"€ 37 900,-",Très bon prix,69 000 km,Boîte automatique,08/2016,Essence,185 kW (252 CH),,
10,Porsche Macan ,2.0 Turbo PDK**51000km**,"€ 46 950,-",Très bon prix,51 000 km,Boîte automatique,01/2019,Essence,180 kW (245 CH),,
11,Porsche Macan ,3.0 V6 258CH S PDK,"€ 49 990,-",Très bon prix,32 977 km,Boîte manuelle,05/2016,Diesel,190 kW (258 CH),,
12,Porsche Macan ,S PANO VOLLEDER 21\ PDLS+ CAMERA,"€ 58 900,-",Très bon prix,65 000 km,Boîte automatique,04/2021,Essence,260 kW (354 CH),,
13,Porsche Macan ,Turbo 3.6 V6 400 ch PDK,"€ 38 500,-",Bon prix,129 000 km,Boîte manuelle,09/2014,Essence,294 kW (400 CH),,
14,Porsche Macan ,"2.0 245ch PDK, 31 610EUR D OPTIONS, 29 700Km, 1ère","€ 60 900,-",Pas d'information,29 700 km,Boîte automatique,02/2019,Essence,- kW (- CH),,
15,Porsche Macan ,3.0 V6 Bi-Turbo S PDK BOSE ACC 14-way Camera,"€ 35 900,-",Bon prix,138 563 km,Boîte automatique,01/2015,Diesel,190 kW (258 CH),,
16,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 46 000,-",Très bon prix,63 000 km,Boîte automatique,04/2016,Diesel,190 kW (258 CH),,
17,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 29 990,-",Bon prix,177 500 km,Boîte automatique,02/2015,Diesel,190 kW (258 CH),,
18,Porsche Macan ,3.0 V6 TDI - S Diesel +toit + bose + pneumatique,"€ 40 980,-",Très bon prix,89 700 km,Boîte automatique,07/2015,Diesel,190 kW (258 CH),,
19,Porsche Macan ,Turbo Exclusive Performance Edition 440cv PDK,"€ 72 990,-",Bon prix,47 000 km,Boîte automatique,03/2018,Essence,324 kW (441 CH),,
20,Porsche Macan ,GTS PDK - PanoCameraSport uitlaat,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Porsche Macan ,2.0 Turbo*PDK*4x4*NAVI*CAMERA*LED*LEDER*,"€ 41 900,-",Bon prix,89 481 km,Boîte automatique,01/2018,Essence,185 kW (252 CH),,
41,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 48 990,-",Prix correct,46 800 km,Boîte automatique,04/2015,Diesel,190 kW (258 CH),,
42,Porsche Macan ,3.0 V6 340 ch S PDK,"€ 44 900,-",Bon prix,83 000 km,Boîte manuelle,12/2015,Essence,250 kW (340 CH),,
43,Porsche Macan ,GTS 2.9 V6 440 CV PDK,"€ 89 990,-",Très bon prix,38 900 km,Boîte automatique,03/2022,Essence,324 kW (441 CH),,
44,Porsche Macan ,Turbo 3.6 V6 400 CH PDK,"€ 47 990,-",Bon prix,104 000 km,Boîte automatique,07/2016,Essence,295 kW (401 CH),,
45,Porsche Macan ,245,"€ 71 990,-",Pas d'information,43 000 km,Boîte automatique,03/2019,Essence,11 kW (15 CH),,
46,Porsche Macan ,S 3.0 V6 TDI PDK Diesel PHASE 1,"€ 34 980,-",Bon prix,196 254 km,Boîte automatique,02/2018,Diesel,190 kW (258 CH),,
47,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 39 990,-",Bon prix,131 897 km,Boîte manuelle,01/2016,Diesel,190 kW (258 CH),,
48,Porsche Macan ,3.6 V6 440CH TURBO PACK PERFORMANCE PDK,"€ 54 990,-",Très bon prix,119 634 km,Boîte automatique,02/2017,Essence,328 kW (446 CH),,
49,Porsche Macan ,2.0 TURBO PDK FACELIFT *** PASM / 21\ ALU / LED **,"€ 39 950,-",Bon prix,182 500 km,Boîte automatique,04/2019,Essence,180 kW (245 CH),,
50,Porsche Macan ,S 3.0 TDI V6 258 PDK PASM TOIT OUVRANT PACK ROUES,"€ 39 990,-",Bon prix,113 000 km,Boîte automatique,03/2015,Diesel,190 kW (258 CH),,
51,Porsche Macan ,Macan 3.0 V6 TDI - S Diesel,"€ 33 900,-",Bon prix,164 000 km,Boîte automatique,06/2016,Diesel,190 kW (258 CH),,
52,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 39 990,-",Prix correct,111 750 km,Boîte automatique,07/2014,Diesel,190 kW (258 CH),,
53,Porsche Macan ,2.0i 252 PDK,"€ 46 990,-",Bon prix,55 500 km,Boîte automatique,06/2017,Essence,185 kW (252 CH),,
54,Porsche Macan ,3.6 V6 400 CH Turbo PDK - TOIT PANO PASM PDLS PACK,"€ 53 490,-",Très bon prix,61 740 km,Boîte automatique,06/2015,Essence,294 kW (400 CH),,
55,Porsche Macan ,3.0 V6 S PANO CUIR NAVI,"€ 49 900,-",Bon prix,77 000 km,Boîte automatique,11/2018,Essence,250 kW (340 CH),,
56,Porsche Macan ,TURBO 3.6 TURBO V6 PDK / 21\u0027\u0027 PASM BOSE,"€ 43 990,-",Pas d'information,112 300 km,Boîte automatique,10/2015,Essence,- kW (- CH),,
57,Porsche Macan ,3.0 V6 354ch S PDK,"€ 66 990,-",Pas d'information,62 074 km,- Boîte,04/2019,Essence,264 kW (359 CH),,
58,Porsche Macan ,3.0 V6 340ch S PDK,"€ 49 900,-",Pas d'information,96 260 km,- Boîte,05/2018,Essence,254 kW (345 CH),,
59,Porsche Macan ,3.6 V6 400CH TURBO PDK,"€ 53 890,-",Prix correct,86 177 km,Boîte automatique,05/2015,Essence,299 kW (407 CH),,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,Porsche Macan ,2.0 250 ch PDK,"€ 54 900,-",Prix correct,29 100 km,Boîte automatique,12/2017,Essence,185 kW (252 CH),,
81,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 55 990,-",Pas d'information,60 500 km,Boîte automatique,09/2016,Diesel,190 kW (258 CH),,
82,Porsche Macan ,Turbo 3.0 440 ch PDK ***VENDU***,"€ 119 990,-",Pas d'information,20 000 km,Boîte manuelle,12/2020,Essence,324 kW (441 CH),,
83,Porsche Macan ,Turbo 3.6 V6 400 ch PDK,"€ 38 900,-",Prix correct,149 000 km,Boîte automatique,11/2014,Essence,294 kW (400 CH),,
84,Porsche Macan ,3.6i V6 - 440 - BV PDK Turbo Pack Performance PHAS,"€ 59 990,-",Pas d'information,81 855 km,- Boîte,09/2017,Essence,324 kW (441 CH),,
85,Porsche Macan ,S PDK 3.0 V6 354CV PANO/BOSE/PDLS+/CHRONO,"€ 69 990,-",Bon prix,49 800 km,Boîte automatique,04/2019,Essence,260 kW (354 CH),,
86,Porsche Macan ,"S 3.0 V6 354ch PDK, GPS | CAM360 | CARPLAY | TO |","€ 68 900,-",Prix correct,47 800 km,Boîte automatique,05/2019,Essence,260 kW (354 CH),,
87,Porsche Macan ,3.0 V6 258CH S DIESEL PDK,"€ 36 990,-",Pas d'information,130 520 km,- Boîte,08/2014,Diesel,193 kW (262 CH),,
88,Porsche Macan ,Turbo 3.6 400ch PDK - Tr¨s bien optionné,"€ 43 000,-",Bon prix,127 500 km,Boîte automatique,10/2015,Essence,294 kW (400 CH),,
89,Porsche Macan ,3.0 V6 340 ch S PDK,"€ 37 490,-",Prix correct,138 200 km,Boîte automatique,01/2015,Essence,250 kW (340 CH),,
90,Porsche Macan ,2.0 245 ch PDK,"€ 64 900,-",Prix correct,48 200 km,Boîte manuelle,01/2019,Essence,180 kW (245 CH),,
91,Porsche Macan ,GTS 2.9 380 ch PDK,"€ 89 900,-",Pas d'information,44 450 km,Boîte automatique,09/2020,Essence,279 kW (379 CH),,
92,Porsche Macan ,Turbo 3.0 440 ch PDK,"€ 89 990,-",Bon prix,38 500 km,Boîte automatique,05/2020,Essence,324 kW (441 CH),,
93,Porsche Macan ,3.0 s v6 340 pdk approved 12 full,"€ 41 990,-",Pas d'information,148 000 km,Boîte automatique,07/2015,Essence,- kW (- CH),,
94,Porsche Macan ,3.6 V6 400CH TURBO PDK,,Pas d'information,119 000 km,- Boîte,08/2014,Essence,299 kW (407 CH),,
95,Porsche Macan ,"2.0 TURBO, 250ch, 15 CV, 1er M.E.C 09-2016","€ 42 990,-",Prix correct,95 000 km,Boîte automatique,09/2016,Essence,186 kW (253 CH),,
96,Porsche Macan ,2.0 245cv Sport Chrono PASM ToitOuvrant Historique,,Prix correct,81 000 km,Boîte automatique,07/2019,Essence,180 kW (245 CH),,
97,Porsche Macan ,3.0 V6 258CH S DIESEL PDK,"€ 40 900,-",Pas d'information,122 300 km,- Boîte,06/2017,Diesel,193 kW (262 CH),,
98,Porsche Macan ,S PDK,"€ 37 990,-",Très bon prix,104 000 km,Semi-automatique,10/2014,Diesel,190 kW (258 CH),,
99,Porsche Macan ,2.9 V6 440 GTS,"€ 119 900,-",Pas d'information,23 900 km,Boîte automatique,01/2022,Essence,324 kW (441 CH),,
100,Porsche Macan ,Turbo 2 PDLS+ SIEGES VENTILES 360 ECHAP 360 FRANCA,"€ 89 990,-",Pas d'information,24 759 km,- Boîte,01/2020,Essence,324 kW (441 CH),,
101,Porsche Macan ,3.0 V6 258CH S DIESEL PDK,"€ 54 990,-",Pas d'information,59 290 km,- Boîte,06/2017,Diesel,193 kW (262 CH),,
102,Porsche Macan ,Turbo 3.6 V6 400 ch PDK ***VENDU***,"€ 51 990,-",Bon prix,67 500 km,Boîte automatique,11/2014,Essence,294 kW (400 CH),,
103,Porsche Macan ,3.0i V6 360CV PDK GTS,"€ 51 990,-",Très bon prix,103 000 km,Boîte automatique,01/2018,Essence,265 kW (360 CH),,
104,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 47 900,-",Prix correct,93 000 km,Boîte manuelle,06/2017,Diesel,190 kW (258 CH),,
105,Porsche Macan ,Turbo 3.6 V6 400 ch PDK,"€ 49 790,-",Très bon prix,80 300 km,Boîte automatique,05/2015,Essence,294 kW (400 CH),,
106,Porsche Macan ,Macan 3.0 V6 TDI - BV PDK S Diesel,"€ 35 500,-",Très bon prix,107 000 km,Boîte automatique,06/2014,Diesel,190 kW (258 CH),,
107,Porsche Macan ,Diesel 3.0 V6 258 ch S PDK,"€ 38 000,-",Bon prix,112 000 km,Boîte automatique,05/2016,Diesel,190 kW (258 CH),,
108,Porsche Macan ,Macan 2.0 250 ch,,Très bon prix,70 000 km,Semi-automatique,06/2018,Essence,185 kW (252 CH),,
109,Porsche Macan ,Turbo 3.6 V6 400 ch PDK,"€ 52 990,-",Bon prix,43 000 km,Boîte automatique,10/2014,Essence,294 kW (400 CH),,
110,Porsche Macan ,2.0 252ch PDK,"€ 53 990,-",Pas d'information,75 078 km,- Boîte,01/2019,Essence,188 kW (256 CH),,
111,Porsche Macan ,S Diesel,"€ 39 990,-",Prix correct,112 000 km,Boîte automatique,06/2015,Diesel,191 kW (260 CH),,
112,Porsche Macan ,S 3.0 354 ch PDK,"€ 59 900,-",Prix correct,104 000 km,Boîte automatique,03/2019,Essence,260 kW (354 CH),,
113,Porsche Macan ,2.0 250 ch PDK,"€ 42 990,-",Bon prix,46 000 km,Boîte manuelle,08/2016,Essence,184 kW (250 CH),,
