,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Renault Laguna ,3 2.0 dci 130 « energy bose » 2012,"€ 7 500,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
1,Renault Laguna ,Estate 2.0 dCi 150 GT 4Control,"€ 2 300,-",Très bon prix,260 000 km,Boîte manuelle,04/2013,Diesel,110 kW (150 CH),,
2,Renault Laguna ,1.5 DCI 110 BLACK EDITION,"€ 7 490,-",Pas d'information,124 500 km,Boîte manuelle,11/2009,Diesel,81 kW (110 CH),,
3,Renault Laguna ,Estate III 2.0 dCi 180 FAP GT,"€ 8 500,-",Pas d'information,124 530 km,Boîte manuelle,12/2008,Diesel,132 kW (179 CH),,
4,Renault Laguna ,III (K91) 2.0 dCi 175ch InitialeParis BoîteAuto6 1,"€ 9 990,-",Bon prix,125 921 km,Boîte automatique,04/2014,Diesel,128 kW (174 CH),,
5,Renault Laguna ,III 1.5 dCi 110 eco2 Expression,"€ 4 700,-",Très bon prix,112 904 km,Boîte manuelle,05/2008,Diesel,81 kW (110 CH),,
6,Renault Laguna ,Coupé 3.0 V6 dCi 235 FAP INITIALE BVA 4CONTROL,"€ 8 990,-",Bon prix,163 500 km,Boîte automatique,10/2008,Diesel,173 kW (235 CH),,
7,Renault Laguna ,Monaco GP,"€ 10 999,-",Pas d'information,119 696 km,Boîte manuelle,04/2012,Diesel,110 kW (150 CH),,
8,Renault Laguna ,Estate 2.0 DCI 150ch CARMINAT BVA + Hi-Fi CABASSE,"€ 8 490,-",Pas d'information,118 010 km,Boîte automatique,06/2009,Diesel,111 kW (151 CH),,
9,Renault Laguna ,III 2.0T 170 Privilège A,"€ 5 990,-",Bon prix,124 850 km,Boîte automatique,12/2007,Essence,125 kW (170 CH),,
10,Renault Laguna ,3.0 V6 Initiale A,"€ 4 990,-",Bon prix,150 000 km,Boîte automatique,09/2006,Essence,152 kW (207 CH),,
11,Renault Laguna ,2.0 DCI 150CH BLACK EDITION,"€ 5 980,-",Prix correct,169 060 km,Boîte manuelle,11/2009,Diesel,112 kW (152 CH),,
12,Renault Laguna ,Dynamique,"€ 5 999,-",Pas d'information,216 000 km,Boîte manuelle,06/2009,Diesel,129 kW (175 CH),,
13,Renault Laguna ,1.5 dCi 110ch Limited EDC eco²,"€ 11 200,-",Pas d'information,65 800 km,- Boîte,12/2015,Diesel,82 kW (111 CH),,
14,Renault Laguna ,1.5 DCI 110CH LIMITED ECO²,"€ 9 990,-",Pas d'information,128 362 km,Boîte manuelle,09/2014,Diesel,82 kW (111 CH),,
15,Renault Laguna ,1.5 DCI 110CH BUSINESS ECO²,"€ 8 490,-",Prix correct,127 335 km,Boîte manuelle,11/2011,Diesel,82 kW (111 CH),,
16,Renault Laguna ,2.0 DCI 150CH PRIVILEGE,"€ 4 780,-",Très bon prix,185 505 km,Boîte manuelle,05/2008,Diesel,112 kW (152 CH),,
17,Renault Laguna ,2.2 D Aïda,"€ 900,-",Pas d'information,200 000 km,Boîte manuelle,12/1996,Diesel,62 kW (84 CH),,
18,Renault Laguna ,Estate III 2.0 dCi 150 Initiale,"€ 1 800,-",Pas d'information,336 000 km,Boîte manuelle,08/2008,Diesel,110 kW (150 CH),,
19,Renault Laguna ,1.8i 16V RXE,"€ 2 200,-",Pas d'information,194 000 km,Boîte manuelle,11/1999,Essence,88 kW (120 CH),,
20,Renault Laguna ,1.5 dCi 110 FAP eco2 Black Edition,"€ 4 990,-",Prix correct,217 283 km,Boîte manuelle,09/2011,Diesel,81 kW (110 CH),,
21,Renault Laguna ,Estate III 2.0 dCi 130 Black Edition,"€ 7 500,-",Pas d'information,120 678 km,Boîte manuelle,07/2011,Diesel,96 kW (131 CH),,
22,Renault Laguna ,1.5 dci eco2 110cv,"€ 4 490,-",Pas d'information,163 200 km,Boîte manuelle,08/2008,Diesel,- kW (- CH),,
23,Renault Laguna ,1.6i 16v Authentique * Airco * 127€ x 30 mois *,"€ 3 490,-",Pas d'information,108 786 km,Boîte manuelle,07/2007,Essence,82 kW (111 CH),,
24,Renault Laguna ,2.0 16V Luxe Carminat,"€ 2 400,-",Bon prix,197 000 km,Boîte manuelle,06/2006,Essence,99 kW (135 CH),,
