,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Skoda Superb ,Combi 1.4 TSI Sportline iV (EURO 6d),"€ 24 100,-",Très bon prix,93 669 km,Boîte automatique,02/2020,Électrique/Essence,160 kW (218 CH),,
1,Skoda Superb ,14300 ht 2.0 TDI 150CH BUSINESS DSG,"€ 17 200,-",Pas d'information,93 700 km,Boîte automatique,04/2019,Diesel,112 kW (152 CH),,
2,Skoda Superb ,2.0 TDI 150CH SCR BUSINESS DSG7 EURO6D-T,"€ 15 990,-",Pas d'information,121 715 km,- Boîte,03/2018,Diesel,112 kW (152 CH),,
3,Skoda Superb ,1.6 CR TDi / TOIT PANO / XENON / GPS NAVI / PDC,,Très bon prix,125 000 km,Boîte manuelle,06/2015,Diesel,77 kW (105 CH),,
4,Skoda Superb ,1.4 TSI PHEV 218 ch DSG6 Sportline,"€ 35 590,-",Très bon prix,13 950 km,Boîte automatique,06/2023,Autres,116 kW (158 CH),,
5,Skoda Superb ,2.0 TDI150 Greentec Laurin\u0026Klement DSG,"€ 17 950,-",Pas d'information,166 227 km,- Boîte,01/2016,Diesel,112 kW (152 CH),,
6,Skoda Superb ,1.6 CR TDi Auto*park assist*toit ouv*188X48 mois*,"€ 7 490,-",Bon prix,202 005 km,Boîte automatique,06/2014,Diesel,77 kW (105 CH),,
7,Skoda Superb ,Combi 2.0 TDI 190 DSG6 Style,"€ 17 990,-",Bon prix,104 906 km,Boîte automatique,02/2016,Diesel,140 kW (190 CH),,
8,Skoda Superb ,II (2) 2.0 TDI 170 ELEGANCE 4WD DSG,"€ 16 990,-",Prix correct,71 956 km,Boîte automatique,08/2013,Diesel,125 kW (170 CH),,
9,Skoda Superb ,COMBI 1.6CRTDI DSG7 AMBITION CORPORATE PACK - LED,"€ 18 995,-",Bon prix,96 019 km,Boîte automatique,11/2019,Diesel,88 kW (120 CH),,
10,Skoda Superb ,Benzine *DSG * Camera * NAVI * Zetelverwarming,"€ 17 990,-",Prix correct,119 000 km,Boîte automatique,02/2018,Essence,132 kW (179 CH),,
11,Skoda Superb ,Superb 2.0 TSI 280 DSG6 4x4,"€ 24 490,-",Pas d'information,57 746 km,- Boîte,04/2017,Essence,206 kW (280 CH),,
12,Skoda Superb ,2.0 TSI 280 4x4 DSG Toit Ouvra,"€ 32 990,-",Prix correct,68 500 km,Boîte automatique,04/2020,Essence,200 kW (272 CH),,
13,Skoda Superb ,1.5TSI ACT Ambition-07/19-1Prop.-Top Etat-Garantie,"€ 17 450,-",Prix correct,108 000 km,Boîte manuelle,07/2019,Essence,110 kW (150 CH),,
14,Skoda Superb ,2.0 TDI170 PRAHA FAP DSG6,"€ 12 500,-",Pas d'information,161 100 km,- Boîte,12/2011,Diesel,127 kW (173 CH),,
15,Skoda Superb ,1.4 TSI PHEV 218ch Laurin\u0026Klement DSG6,"€ 30 000,-",Pas d'information,62 879 km,- Boîte,09/2020,Autres,- kW (- CH),,
16,Skoda Superb ,Combi SportLine 4x4 AHK Pano Canton ACC 360 20...,"€ 54 961,-",Pas d'information,9 km,Boîte automatique,- (Année),Essence,206 kW (280 CH),,
17,Skoda Superb ,Combi 1.8 TSI 180 DSG7 Laurin & Klement,"€ 23 500,-",Pas d'information,88 000 km,Boîte automatique,09/2017,Essence,132 kW (179 CH),,
18,Skoda Superb ,Combi 2.0 TDI 140 CR FAP AMBITION II TVA RECUP TAX,"€ 15 500,-",Pas d'information,60 000 km,Boîte manuelle,06/2012,Diesel,103 kW (140 CH),,
19,Skoda Superb ,Sportline/DSG/LED/NAVI/AHK,"€ 34 990,-",Prix correct,15 884 km,Boîte automatique,11/2022,Diesel,110 kW (150 CH),,
20,Skoda Superb ,Combi 1.4 TSI Sportline iV (EURO 6d),"€ 24 100,-",Très bon prix,93 669 km,Boîte automatique,02/2020,Électrique/Essence,160 kW (218 CH),,
21,Skoda Superb ,14300 ht 2.0 TDI 150CH BUSINESS DSG,"€ 17 200,-",Pas d'information,93 700 km,Boîte automatique,04/2019,Diesel,112 kW (152 CH),,
22,Skoda Superb ,2.0 TDI 150CH SCR BUSINESS DSG7 EURO6D-T,"€ 15 990,-",Pas d'information,121 715 km,- Boîte,03/2018,Diesel,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
