,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Suzuki Swift ,my15 1.2 vvt in the city,"€ 9 990,-",Très bon prix,78 900 km,Boîte manuelle,03/2017,Essence,70 kW (95 CH),,
1,Suzuki Swift ,1.2 VVT 95ch BIBA,"€ 8 990,-",Très bon prix,69 498 km,Boîte manuelle,05/2016,Essence,70 kW (95 CH),,
2,Suzuki Swift ,1.2 VVT Série Spéciale In The City,"€ 9 990,-",Bon prix,71 390 km,Boîte manuelle,06/2016,Essence,69 kW (94 CH),,
3,Suzuki Swift ,1.2 Dualjet Hybrid 83ch Pack,"€ 18 999,-",Pas d'information,5 000 km,Boîte manuelle,03/2024,Électrique/Essence,- kW (- CH),,
4,Suzuki Swift ,VI 1.2 DUALJET AVANTAGE,"€ 8 990,-",Prix correct,121 000 km,Boîte manuelle,05/2017,Essence,66 kW (90 CH),,
5,Suzuki Swift ,1.2 DUALJET HYBRID PRIVILEGE CAMERA SIEGES CHAUFFA,"€ 16 990,-",Pas d'information,19 900 km,Boîte manuelle,11/2021,Autres,- kW (- CH),,
6,Suzuki Swift ,1.3 DDiS 75ch GL,"€ 2 500,-",Pas d'information,141 734 km,Boîte manuelle,04/2008,Diesel,55 kW (75 CH),,
7,Suzuki Swift ,1.3 ddis 75cv “glx “ 2013 1° main,"€ 8 500,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
8,Suzuki Swift ,1.3 DDiS GL Airco,"€ 2 700,-",Pas d'information,190 700 km,Boîte manuelle,07/2010,Diesel,55 kW (75 CH),,
9,Suzuki Swift ,1.3i GTi,"€ 6 500,-",Pas d'information,93 000 km,Boîte manuelle,09/1992,Essence,74 kW (101 CH),,
10,Suzuki Swift ,1.2 VVT PACK 5P,"€ 6 990,-",Très bon prix,112 000 km,Boîte manuelle,03/2014,Essence,70 kW (95 CH),,
11,Suzuki Swift ,1.4 BOOSTERJET SHVS 130 SPORT,"€ 18 990,-",Prix correct,40 500 km,Boîte manuelle,05/2022,Autres,95 kW (129 CH),,
12,Suzuki Swift ,1.3i GL Airco,"€ 4 900,-",Très bon prix,88 100 km,Boîte manuelle,02/2009,Essence,68 kW (92 CH),,
13,Suzuki Swift ,1.2 Dualjet Hybrid 90ch Privilège Euro6d-T,"€ 11 980,-",Très bon prix,60 824 km,Boîte manuelle,07/2020,Autres,67 kW (91 CH),,
14,Suzuki Swift ,1.4 Sport,"€ 14 490,-",Bon prix,85 777 km,Boîte manuelle,06/2018,Essence,103 kW (140 CH),,
15,Suzuki Swift ,Sport 1.4 Boosterjet,"€ 16 500,-",Prix correct,64 589 km,Boîte manuelle,02/2019,Essence,103 kW (140 CH),,
16,Suzuki Swift ,1.2 VVT So'City,"€ 6 690,-",Bon prix,126 000 km,Boîte manuelle,04/2014,Essence,69 kW (94 CH),,
17,Suzuki Swift ,1.3 DDiS 75ch GL,"€ 2 700,-",Bon prix,167 000 km,Boîte manuelle,06/2009,Diesel,55 kW (75 CH),,
18,Suzuki Swift ,1.2 Hybrid 83ch Pack Auto,"€ 22 860,-",Prix correct,10 km,Boîte automatique,04/2024,Autres,62 kW (84 CH),,
19,Suzuki Swift ,1.3 i,"€ 4 490,-",Prix correct,147 530 km,Boîte manuelle,07/2006,Essence,68 kW (92 CH),,
20,Suzuki Swift ,my15 1.2 vvt in the city,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Suzuki Swift ,1.2 VVT GLX 4X4,"€ 8 990,-",Prix correct,115 345 km,Boîte manuelle,06/2013,Essence,69 kW (94 CH),,
41,Suzuki Swift ,1.2 dualjet privilege allgrip hybrid,"€ 15 490,-",Pas d'information,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,Suzuki Swift ,1.2 Dualjet Hybrid SHVS Allgrip Pack,"€ 11 600,-",,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,Suzuki Swift ,VI 1.2 DUALJET HYBRID AVANTAGE,"€ 16 490,-",Bon prix,10 km,Boîte manuelle,08/2022,Autres,61 kW (83 CH),,
81,Suzuki Swift ,GL+ MT5 Mild Hybrid,"€ 20 410,-",Prix correct,50 km,Boîte automatique,03/2024,Essence,61 kW (83 CH),,
82,Suzuki Swift ,GL+,"€ 19 990,-",Pas d'information,- km,Boîte manuelle,- (Année),Essence,61 kW (83 CH),,
83,Suzuki Swift ,1.3 DDiS 75ch Privilège 5p,"€ 12 990,-",Pas d'information,15 km,Boîte manuelle,01/2016,Diesel,- kW (- CH),,
84,Suzuki Swift ,GLX,"€ 20 490,-",Bon prix,50 km,Boîte automatique,06/2023,Électrique/Essence,61 kW (83 CH),,
85,Suzuki Swift ,GLX MT5 MILD HYBRID,"€ 21 948,-",Pas d'information,50 km,Boîte manuelle,03/2024,Essence,61 kW (83 CH),,
86,Suzuki Swift ,GL+ CVT,"€ 20 400,-",Prix correct,20 km,Boîte automatique,03/2024,Essence,61 kW (83 CH),,
87,Suzuki Swift ,1.2 GL+ HYBRIDE,"€ 17 999,-",Pas d'information,23 113 km,Boîte manuelle,09/2022,Électrique/Essence,61 kW (83 CH),,
88,Suzuki Swift ,1.2 Hybrid 83ch Pack AllGrip,"€ 20 480,-",Prix correct,3 000 km,Boîte manuelle,04/2024,Autres,62 kW (84 CH),,
89,Suzuki Swift ,1.2 Hybrid 83ch Pack,"€ 20 480,-",Prix correct,5 000 km,Boîte manuelle,04/2024,Autres,62 kW (84 CH),,
