,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Tesla Model 3 ,Long Range Dual Motor AWD,"€ 27 890,-",Pas d'information,82 500 km,Boîte automatique,10/2019,Electrique,340 kW (462 CH),,
1,Tesla Model 3 ,LONG-RANGE DUAL MOTOR AWD,"€ 26 900,-",Très bon prix,130 300 km,Boîte automatique,03/2021,Electrique,345 kW (469 CH),,
2,Tesla Model 3 ,ELECTRIC 351ch 65KWH GRANDE-AUTONOMIE LONG-RANGE 4,"€ 24 990,-",Bon prix,172 000 km,Boîte automatique,04/2019,Electrique,259 kW (352 CH),,
3,Tesla Model 3 ,44 kWh Standard Plus * Siege chauf * Cruise adapt,"€ 25 990,-",Pas d'information,44 581 km,Boîte automatique,11/2019,Electrique,225 kW (306 CH),,
4,Tesla Model 3 ,Standard Plus RWD,"€ 26 494,-",Très bon prix,77 000 km,Boîte automatique,03/2021,Electrique,202 kW (275 CH),,
5,Tesla Model 3 ,Long Range Dual Motor AWD,"€ 24 900,-",Très bon prix,139 000 km,Boîte automatique,05/2020,Electrique,340 kW (462 CH),,
6,Tesla Model 3 ,Standard Range Plus RWD *Cam *Nav *Sièges chauf,"€ 30 985,-",Très bon prix,9 825 km,Boîte automatique,09/2021,Electrique,239 kW (325 CH),,
7,Tesla Model 3 ,Model 3 Long Range Dual Motor AWD,"€ 30 674,-",Pas d'information,60 100 km,Boîte automatique,03/2021,Electrique,340 kW (462 CH),,
8,Tesla Model 3 ,Long Range Dual Motor AWD,"€ 35 490,-",Très bon prix,67 000 km,Boîte automatique,06/2022,Electrique,340 kW (462 CH),,
9,Tesla Model 3 ,Long Range Dual Motor AWD,"€ 29 900,-",Bon prix,120 000 km,Boîte automatique,08/2020,Electrique,340 kW (462 CH),,
10,Tesla Model 3 ,Standard Range Plus RWD,"€ 26 000,-",Pas d'information,47 000 km,Boîte automatique,05/2020,Electrique,202 kW (275 CH),,
11,Tesla Model 3 ,LICORNE,"€ 32 550,-",Pas d'information,15 400 km,- Boîte,12/2021,Electrique,239 kW (325 CH),,
12,Tesla Model 3 ,MODEL 3 Long Range Dual Motor AWD,"€ 31 990,-",Prix correct,75 014 km,Boîte automatique,11/2020,Electrique,255 kW (347 CH),,
13,Tesla Model 3 ,PERFORMANCE DUAL MOTOR AWD TOIT OUVRANT,,Pas d'information,33 500 km,Boîte automatique,12/2020,- Carburant,- kW (- CH),,
14,Tesla Model 3 ,Dual Motor AWD Long-Range TVA Récuperable-Livrais,"€ 31 490,-",Très bon prix,65 113 km,Boîte automatique,03/2020,Electrique,340 kW (462 CH),,
15,Tesla Model 3 ,Long-Range Dual Motor AWD,"€ 24 990,-",Bon prix,183 200 km,Boîte automatique,02/2020,Electrique,340 kW (462 CH),,
16,Tesla Model 3 ,Standard Range Plus RWD,"€ 29 000,-",Pas d'information,31 000 km,Boîte automatique,12/2021,Electrique,202 kW (275 CH),,
17,Tesla Model 3 ,Performance Dual Motor AWD,"€ 38 000,-",Prix correct,62 000 km,Boîte automatique,06/2021,Electrique,378 kW (514 CH),,
18,Tesla Model 3 ,MODEL 3 PERFORMANCE 513 CV / CONDUITE AUTONOME,"€ 41 490,-",Pas d'information,32 900 km,Boîte automatique,09/2020,Electrique,377 kW (513 CH),,
19,Tesla Model 3 ,TESLA MODEL 3 TVA A PARTIR DE 390e PAR MOIS,"€ 43 990,-",Bon prix,500 km,Boîte automatique,02/2024,Electrique,221 kW (300 CH),,
20,Tesla Model 3 ,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Tesla Model 3 ,Performance Dual Motor AWD,"€ 31 990,-",Très bon prix,63 800 km,Boîte automatique,05/2020,Electrique,331 kW (450 CH),,
41,Tesla Model 3 ,DUAL MOTOR AWD PERFORMANCE 75KW 490,"€ 39 990,-",Pas d'information,47 751 km,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,Tesla Model 3 ,Standard Range Plus RWD,"€ 32 900,-",Bon prix,32 500 km,Boîte automatique,03/2022,Electrique,202 kW (275 CH),,
61,Tesla Model 3 ,Standard Range Plus RWD,"€ 32 999,-",Très bon prix,28 000 km,Boîte automatique,03/2023,Electrique,202 kW (275 CH),,
62,Tesla Model 3 ,Standard Plus - GPS - Topstaat 1Ste Eig,"€ 35 990,-",Pas d'information,69 980 km,Boîte automatique,08/2019,Electrique,225 kW (306 CH),,
63,Tesla Model 3 ,Standard Range Plus RWD,"€ 27 371,-",Très bon prix,67 200 km,Boîte automatique,02/2020,Electrique,202 kW (275 CH),,
64,Tesla Model 3 ,TESLA MODEL 3 TVA A PARTIR DE 390e PAR MOIS,"€ 43 990,-",Prix correct,300 km,Boîte automatique,01/2024,Electrique,202 kW (275 CH),,
65,Tesla Model 3 ,Long Range Dual Motor AWD,"€ 48 900,-",Bon prix,19 500 km,Boîte automatique,03/2023,Electrique,340 kW (462 CH),,
66,Tesla Model 3 ,Performance PUP AWD Upgrade MY22,,Prix correct,8 670 km,Boîte automatique,09/2022,Electrique,360 kW (489 CH),,
67,Tesla Model 3 ,Standard Range Plus RWD,"€ 28 500,-",Très bon prix,80 500 km,Boîte automatique,06/2021,Electrique,202 kW (275 CH),,
68,Tesla Model 3 ,,"€ 29 990,-",Pas d'information,46 900 km,Boîte automatique,12/2019,Electrique,- kW (- CH),,
69,Tesla Model 3 ,Long-Range Dual Motor AWD MY21,"€ 39 890,-",Prix correct,55 553 km,Boîte automatique,04/2022,Electrique,345 kW (469 CH),,
70,Tesla Model 3 ,Standard Plus RWD,"€ 31 844,-",Très bon prix,28 700 km,Boîte automatique,03/2021,Electrique,202 kW (275 CH),,
71,Tesla Model 3 ,Performance Dual Motor AWD,"€ 48 000,-",Prix correct,18 000 km,Boîte automatique,08/2023,Electrique,355 kW (483 CH),,
72,Tesla Model 3 ,,"€ 39 990,-",Prix correct,56 000 km,Boîte automatique,10/2021,Electrique,377 kW (513 CH),,
73,Tesla Model 3 ,Standard Range Plus RWD,"€ 33 500,-",Très bon prix,39 999 km,Boîte automatique,06/2022,Electrique,239 kW (325 CH),,
74,Tesla Model 3 ,RWD Standard Plus - Première main Garantie constru,"€ 28 390,-",Bon prix,63 567 km,Boîte automatique,08/2021,Electrique,239 kW (325 CH),,
75,Tesla Model 3 ,Long Range Dual Motor AWD 476 CV,"€ 31 490,-",Bon prix,61 126 km,Boîte automatique,10/2019,Electrique,350 kW (476 CH),,
76,Tesla Model 3 ,Standard RWD Plus,"€ 30 900,-",Très bon prix,13 000 km,Boîte automatique,06/2019,Electrique,258 kW (351 CH),,
77,Tesla Model 3 ,Standard RWD Plus MY22,"€ 32 460,-",Bon prix,31 167 km,Boîte automatique,02/2022,Electrique,205 kW (279 CH),,
78,Tesla Model 3 ,MODEL 3 Performance Dual Motor AWD,,Très bon prix,56 920 km,Boîte automatique,09/2019,Electrique,355 kW (483 CH),,
79,Tesla Model 3 ,PUP Upgrade AWD DUAL MOTOR Performance,"€ 34 720,-",Prix correct,76 800 km,Boîte automatique,02/2020,Electrique,155 kW (211 CH),,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
