,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Toyota Corolla ,122h Dynamic Business (avec support lombaire),"€ 17 490,-",Très bon prix,61 100 km,Boîte automatique,01/2021,Électrique/Essence,90 kW (122 CH),,
1,Toyota Corolla ,TOURING SPORTS HYBRIDE,"€ 16 899,-",Très bon prix,79 000 km,Boîte automatique,10/2019,Électrique/Essence,90 kW (122 CH),,
2,Toyota Corolla ,Pro Hybride 122h Dynamic Business (avec supp lomb),"€ 18 990,-",Pas d'information,19 500 km,Boîte automatique,02/2021,Électrique/Essence,90 kW (122 CH),,
3,Toyota Corolla ,115 D-4D Linéa Sol,"€ 1 300,-",Pas d'information,223 000 km,Boîte manuelle,04/2007,Diesel,85 kW (116 CH),,
4,Toyota Corolla ,1.3i Linea Terra,"€ 3 500,-",Bon prix,131 100 km,Boîte manuelle,10/1997,Essence,63 kW (86 CH),,
5,Toyota Corolla ,Design,"€ 18 900,-",Très bon prix,64 000 km,Boîte automatique,04/2019,Électrique/Essence,112 kW (152 CH),,
6,Toyota Corolla ,PRO HYBRIDE 184H DYNAMIC BUSINESS,"€ 19 999,-",Très bon prix,44 882 km,Boîte automatique,10/2020,Autres,113 kW (154 CH),,
7,Toyota Corolla ,Hybride 122h touring sport,"€ 16 999,-",Bon prix,132 000 km,Boîte automatique,06/2020,Électrique/Essence,72 kW (98 CH),,
8,Toyota Corolla ,PRO HYBRIDE MY20 122H DYNAMIC BUSINESS,"€ 16 990,-",Très bon prix,89 130 km,Boîte automatique,08/2020,Autres,72 kW (98 CH),,
9,Toyota Corolla ,1.2 Essence 116,"€ 16 900,-",Prix correct,62 900 km,Boîte manuelle,11/2019,Essence,85 kW (116 CH),,
10,Toyota Corolla ,Touring Sports 1.8 Hybrid Dynamic e-CVT,"€ 19 900,-",Bon prix,57 200 km,Boîte automatique,07/2020,Électrique/Essence,72 kW (98 CH),,
11,Toyota Corolla ,Hybride 184h Design,"€ 21 900,-",Bon prix,49 000 km,Boîte automatique,05/2020,Électrique/Essence,112 kW (152 CH),,
12,Toyota Corolla ,Corolla Hybride 180h - BV CVT Dynamic Business,"€ 16 500,-",Très bon prix,130 000 km,Boîte automatique,09/2019,Électrique/Essence,112 kW (152 CH),,
13,Toyota Corolla ,122H MY21 Dynamic Business Stage Academy Historiqu,"€ 17 490,-",Très bon prix,85 800 km,Boîte automatique,08/2021,Autres,73 kW (99 CH),,
14,Toyota Corolla ,(12) 184H DYNAMIC BUSINESS,"€ 19 490,-",Très bon prix,64 210 km,Boîte automatique,09/2020,Autres,113 kW (154 CH),,
15,Toyota Corolla ,14800 ht 122H DYNAMIC BUSINESS,"€ 17 800,-",Bon prix,120 000 km,Boîte automatique,10/2021,Électrique/Essence,91 kW (124 CH),,
16,Toyota Corolla ,1.6 Touring 4WD,"€ 4 300,-",Pas d'information,228 000 km,Boîte manuelle,11/1989,Essence,69 kW (94 CH),,
17,Toyota Corolla ,184h GR Sport MY20,"€ 26 299,-",Pas d'information,39 660 km,Boîte automatique,09/2020,Électrique/Essence,- kW (- CH),,
18,Toyota Corolla ,1.8 Hybrid Dynamic e-CVT * Hybrid * Camera* 375X60,"€ 18 490,-",Bon prix,50 427 km,Boîte automatique,08/2020,Électrique/Essence,72 kW (98 CH),,
19,Toyota Corolla ,184H COLLECTION MY19,"€ 23 890,-",Pas d'information,68 900 km,Boîte automatique,01/2020,Électrique/Essence,114 kW (155 CH),,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Toyota Corolla ,Dynamic Business,"€ 23 490,-",Prix correct,37 200 km,Boîte automatique,05/2020,Électrique/Essence,72 kW (98 CH),,
41,Toyota Corolla ,Hybride 184h Design,"€ 15 900,-",Prix correct,170 000 km,Boîte automatique,07/2019,Essence,112 kW (152 CH),,
42,Toyota Corolla ,122h Dynamic,"€ 18 999,-",Pas d'information,67 077 km,Boîte automatique,12/2019,Électrique/Essence,- kW (- CH),,
43,Toyota Corolla ,122h Dynamic MY20,"€ 23 999,-",Pas d'information,29 658 km,Boîte automatique,04/2021,Électrique/Essence,- kW (- CH),,
44,Toyota Corolla ,2.0 196ch GR Sport MY23,"€ 36 199,-",Pas d'information,8 000 km,Boîte automatique,08/2023,Autres,113 kW (154 CH),,
45,Toyota Corolla ,Touring sport 196 GR Sport (pack techno),"€ 36 500,-",Bon prix,6 500 km,Boîte automatique,09/2023,Électrique/Essence,144 kW (196 CH),,
46,Toyota Corolla ,184H DESIGN MY19,"€ 20 990,-",Bon prix,84 391 km,Boîte automatique,05/2019,Électrique/Essence,114 kW (155 CH),,
47,Toyota Corolla ,184h Collection MY19,"€ 20 990,-",Bon prix,86 155 km,Boîte automatique,10/2020,Autres,114 kW (155 CH),,
48,Toyota Corolla ,Pro Hybride 122h Design,"€ 21 000,-",Pas d'information,43 000 km,Boîte automatique,06/2019,Électrique/Essence,72 kW (98 CH),,
49,Toyota Corolla ,Sedan 1.8Hybrid 122 ECVT GPS Cam,"€ 23 488,-",Très bon prix,12 992 km,Boîte automatique,06/2022,Électrique/Essence,72 kW (98 CH),,
50,Toyota Corolla ,1.8 Hybrid Dynamic Plus e-CVT,"€ 19 490,-",Bon prix,35 931 km,Boîte automatique,08/2021,Essence,72 kW (98 CH),,
51,Toyota Corolla ,122H DYNAMIC MY20,,Très bon prix,63 699 km,Boîte automatique,09/2020,Électrique/Essence,73 kW (99 CH),,
52,Toyota Corolla ,HYBRID **GARANTIE CONTRUCTEUR**,"€ 28 990,-",Prix correct,13 868 km,Boîte automatique,11/2022,Électrique/Essence,72 kW (98 CH),,
53,Toyota Corolla ,122H DYNAMIC BUSINESS + PROGRAMME \BEYOND ZERO ACA,"€ 20 990,-",Très bon prix,46 081 km,Boîte automatique,03/2021,Électrique/Essence,73 kW (99 CH),,
54,Toyota Corolla ,1.8 140ch GR Sport MY24,"€ 30 990,-",Pas d'information,13 092 km,Boîte automatique,09/2023,Électrique/Essence,- kW (- CH),,
55,Toyota Corolla ,Hybride 184h Design,"€ 28 400,-",Prix correct,52 000 km,Boîte automatique,02/2023,Autres,112 kW (152 CH),,
56,Toyota Corolla ,1.8 HYBRID DYNAMIC GARANTIE CONSTRUCTEUR,"€ 21 990,-",Pas d'information,50 683 km,Boîte automatique,09/2021,Électrique/Essence,53 kW (72 CH),,
57,Toyota Corolla ,2.0 196ch GR Sport MY23,"€ 35 990,-",Pas d'information,136 km,Boîte automatique,11/2023,Électrique/Essence,- kW (- CH),,
58,Toyota Corolla ,2.0 196ch Collection MY23,"€ 33 490,-",Pas d'information,26 993 km,Boîte automatique,04/2023,Électrique/Essence,- kW (- CH),,
59,Toyota Corolla ,Corolla Hybride 122h Dynamic +GPS +PDC AR/AV,"€ 21 900,-",Bon prix,11 556 km,Boîte automatique,06/2021,Électrique/Essence,72 kW (98 CH),,
60,Toyota Corolla ,184h Design,"€ 28 990,-",Pas d'information,59 000 km,Boîte automatique,10/2020,Électrique/Essence,112 kW (152 CH),,
61,Toyota Corolla ,122h Design MY22,"€ 26 999,-",Très bon prix,8 500 km,Boîte automatique,03/2023,Autres,73 kW (99 CH),,
62,Toyota Corolla ,Style ts,"€ 31 990,-",Bon prix,1 780 km,Boîte automatique,12/2022,Électrique/Essence,112 kW (152 CH),,
63,Toyota Corolla ,Touring Sports Hybride 122h Dynamic,"€ 14 990,-",Très bon prix,185 000 km,Boîte automatique,09/2019,Autres,72 kW (98 CH),,
64,Toyota Corolla ,Touring Sports Hybride 180h Design,"€ 28 900,-",Pas d'information,1 914 km,- Boîte,05/2019,Électrique/Essence,- kW (- CH),,
65,Toyota Corolla ,122H DESIGN MY20,"€ 20 450,-",Bon prix,63 148 km,Boîte automatique,02/2020,Électrique/Essence,73 kW (99 CH),,
66,Toyota Corolla ,122h Design MY21,"€ 22 499,-",Pas d'information,45 443 km,Boîte automatique,01/2021,Électrique/Essence,- kW (- CH),,
67,Toyota Corolla ,122H HYBRIDE COLLECTION,"€ 23 990,-",Pas d'information,38 384 km,Boîte automatique,08/2020,Électrique/Essence,- kW (- CH),,
68,Toyota Corolla ,Touring Sports Hybride 122h Dynamic,"€ 21 990,-",Bon prix,44 000 km,Boîte automatique,03/2021,Autres,72 kW (98 CH),,
69,Toyota Corolla ,122h Design MY20,"€ 18 999,-",Pas d'information,83 947 km,Boîte automatique,06/2019,Autres,- kW (- CH),,
70,Toyota Corolla ,Hybride 180h Collection,"€ 22 990,-",Prix correct,58 600 km,Boîte automatique,10/2019,Autres,132 kW (179 CH),,
71,Toyota Corolla ,184h Collection MY19,"€ 21 299,-",Pas d'information,74 161 km,Boîte automatique,03/2019,Électrique/Essence,- kW (- CH),,
72,Toyota Corolla ,Hybride 184h Collection MY21,"€ 21 700,-",Bon prix,66 500 km,Boîte automatique,10/2019,Autres,112 kW (152 CH),,
73,Toyota Corolla ,122H ACTIVE,,Prix correct,97 903 km,Boîte automatique,07/2019,Électrique/Essence,73 kW (99 CH),,
74,Toyota Corolla ,1.8 140ch GR Sport MY24,"€ 31 499,-",Pas d'information,7 235 km,Boîte automatique,08/2023,Électrique/Essence,- kW (- CH),,
75,Toyota Corolla ,122h Collection MY21,"€ 26 690,-",Pas d'information,83 360 km,Boîte automatique,03/2021,Électrique/Essence,- kW (- CH),,
76,Toyota Corolla ,1.8 140ch Design MY23,"€ 26 690,-",Pas d'information,21 849 km,Boîte automatique,04/2023,Électrique/Essence,- kW (- CH),,
77,Toyota Corolla ,184h Design MY19,"€ 22 990,-",Pas d'information,21 086 km,Boîte automatique,05/2020,Électrique/Essence,- kW (- CH),,
78,Toyota Corolla ,1.8 140ch Design MY23,"€ 32 999,-",Prix correct,5 999 km,Boîte automatique,12/2023,Autres,73 kW (99 CH),,
79,Toyota Corolla ,184h Design MY19,"€ 21 499,-",Pas d'information,50 629 km,Boîte automatique,10/2019,Autres,- kW (- CH),,
80,Toyota Corolla ,1.8 140ch Design MY23,"€ 26 999,-",Pas d'information,17 214 km,Boîte automatique,05/2023,Électrique/Essence,- kW (- CH),,
81,Toyota Corolla ,1.8 Hybrid Style GPF e-CVT / BTW / FIRST OWNER,"€ 23 400,-",Pas d'information,29 062 km,Boîte automatique,08/2021,Électrique/Essence,72 kW (98 CH),,
82,Toyota Corolla ,2.0 196ch GR Sport MY24,"€ 39 299,-",Pas d'information,8 500 km,Boîte automatique,02/2024,Autres,113 kW (154 CH),,
83,Toyota Corolla ,122H DYNAMIC BUSINESS,"€ 20 890,-",Bon prix,60 692 km,Boîte automatique,12/2020,Électrique/Essence,73 kW (99 CH),,
84,Toyota Corolla ,122h Dynamic MY22,"€ 25 990,-",Pas d'information,15 035 km,Boîte automatique,04/2022,Électrique/Essence,- kW (- CH),,
85,Toyota Corolla ,122h Dynamic,"€ 21 299,-",Pas d'information,27 790 km,Boîte automatique,07/2020,Électrique/Essence,- kW (- CH),,
86,Toyota Corolla ,122h Dynamic MY20,"€ 19 499,-",Pas d'information,55 307 km,Boîte automatique,09/2020,Électrique/Essence,- kW (- CH),,
87,Toyota Corolla ,122h Dynamic Business MY19,"€ 17 299,-",Pas d'information,104 476 km,Boîte automatique,09/2019,Électrique/Essence,- kW (- CH),,
88,Toyota Corolla ,Corolla Touring Sports Hybride 180h,"€ 29 990,-",Très bon prix,10 km,Boîte automatique,11/2022,Électrique/Essence,112 kW (152 CH),,
89,Toyota Corolla ,Corolla Touring Sports Hybride 122h - CVT Dynamic,"€ 17 990,-",Prix correct,149 000 km,Boîte automatique,04/2021,Électrique/Essence,72 kW (98 CH),,
90,Toyota Corolla ,1.8 VVT-i 122h Hybride CVT Design,"€ 21 500,-",Prix correct,38 460 km,Boîte automatique,03/2020,Électrique/Essence,72 kW (98 CH),,
91,Toyota Corolla ,Dynamic Navi sensor ar,"€ 24 990,-",Pas d'information,42 620 km,Boîte automatique,11/2022,Électrique/Essence,72 kW (98 CH),,
92,Toyota Corolla ,122h Design MY22,"€ 25 999,-",Bon prix,9 000 km,Boîte automatique,12/2022,Autres,73 kW (99 CH),,
93,Toyota Corolla ,184h Dynamic Business MY20 8cv,"€ 22 999,-",Bon prix,53 100 km,Boîte automatique,08/2021,Autres,114 kW (155 CH),,
94,Toyota Corolla ,184h Design MY19,"€ 22 899,-",Pas d'information,25 465 km,Boîte automatique,12/2019,Électrique/Essence,- kW (- CH),,
95,Toyota Corolla ,122h Collection MY20 5cv,"€ 22 499,-",Pas d'information,43 685 km,Boîte automatique,01/2021,Autres,- kW (- CH),,
96,Toyota Corolla ,GR Sport Finition,"€ 36 912,-",Pas d'information,- km,Boîte automatique,- (Année),Électrique/Essence,112 kW (152 CH),,
97,Toyota Corolla ,1.8 140ch GR Sport MY24,"€ 33 999,-",Prix correct,4 999 km,Boîte automatique,02/2024,Autres,73 kW (99 CH),,
98,Toyota Corolla ,1.8 140ch GR Sport MY23,"€ 30 990,-",Pas d'information,9 900 km,Boîte automatique,09/2023,Électrique/Essence,- kW (- CH),,
99,Toyota Corolla ,1.8 dynamic business,"€ 24 890,-",Pas d'information,2 575 km,Boîte automatique,02/2021,Électrique/Essence,- kW (- CH),,
