,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Volkswagen up! ,1.0i BlueMotion - 75 - IQ.Drive - Caméra de Recul,"€ 10 980,-",Bon prix,39 000 km,Boîte manuelle,04/2019,Essence,55 kW (75 CH),,
1,Volkswagen up! ,1.0 60 BlueMotion Technology BVM5 Lounge !,"€ 9 480,-",Très bon prix,28 330 km,Boîte manuelle,09/2020,Essence,44 kW (60 CH),,
2,Volkswagen up! ,VOLKSWAGEN_up! 1.0 75Ch BLACK GPS toit ouvrant Cam,"€ 5 990,-",Très bon prix,82 000 km,Boîte manuelle,11/2012,Essence,56 kW (76 CH),,
3,Volkswagen up! ,1.0 60ch BlueMotion Technology IQ.Drive 5p Euro6d-,"€ 10 000,-",Très bon prix,42 900 km,Boîte manuelle,07/2020,Essence,45 kW (61 CH),,
4,Volkswagen up! ,1.0 75 High Up!,"€ 9 500,-",Bon prix,51 866 km,Boîte manuelle,01/2013,Essence,55 kW (75 CH),,
5,Volkswagen up! ,1.0i Style / Color Edition / Airco / GARANTIE /,"€ 8 900,-",Bon prix,8 000 km,Boîte manuelle,08/2014,Essence,44 kW (60 CH),,
6,Volkswagen up! ,1.0 115 BlueMotion Technology BVM6 GTI,"€ 16 500,-",Prix correct,25 000 km,Boîte manuelle,12/2020,Essence,85 kW (116 CH),,
7,Volkswagen up! ,1.0 Benzine - Airco - Topstaat 1Ste Eig,"€ 5 990,-",Pas d'information,144 034 km,Boîte manuelle,07/2014,Essence,44 kW (60 CH),,
8,Volkswagen up! ,1.0i * CLIM * BLUETHOOT * GARANTIE 12 MOIS * 1PRO,"€ 6 950,-",Très bon prix,83 500 km,Boîte manuelle,09/2017,Essence,55 kW (75 CH),,
9,Volkswagen up! ,1.0i Essence / Airco / Faible KM /Euro 6B/GARANTIE,"€ 8 490,-",Prix correct,50 000 km,Boîte manuelle,06/2018,Essence,44 kW (60 CH),,
10,Volkswagen up! ,1.0i BY MANGO / Airco / Gps / Alcantara /Bluetooth,"€ 6 490,-",Prix correct,148 000 km,Boîte manuelle,11/2015,Essence,44 kW (60 CH),,
11,Volkswagen up! ,high up/ASG/PDC/Pano,"€ 12 990,-",Bon prix,51 045 km,Boîte automatique,04/2019,Essence,55 kW (75 CH),,
12,Volkswagen up! ,VOLKSWAGEN_up! 1.0 75ch BlueMotion Move,"€ 9 290,-",Très bon prix,17 200 km,Boîte manuelle,10/2016,Essence,56 kW (76 CH),,
13,Volkswagen up! ,1.0i Colour Cng \u0026 Essence Airco 15€ 300 KM,"€ 11 999,-",Prix correct,13 646 km,Boîte manuelle,05/2020,Essence,44 kW (60 CH),,
14,Volkswagen up! ,1.0i High/BLEUTOOTH/AIRCO/LED/GARANTIE 12 MOIS//,"€ 7 450,-",Bon prix,83 000 km,Boîte manuelle,05/2017,Essence,55 kW (75 CH),,
15,Volkswagen up! ,1.0i Move Airco 4 nvx Pneus Nvl Embrayage Garantie,"€ 6 999,-",Prix correct,86 452 km,Boîte manuelle,01/2014,Essence,44 kW (60 CH),,
16,Volkswagen up! ,1.0 60ch up! club 5p,"€ 8 390,-",Prix correct,62 536 km,Boîte manuelle,02/2015,Essence,45 kW (61 CH),,
17,Volkswagen up! ,1.0 BMT move up!,"€ 8 450,-",Prix correct,97 150 km,Boîte manuelle,03/2018,Essence,44 kW (60 CH),,
18,Volkswagen up! ,UP! 1.0 60ch IQ DRIVE,"€ 8 990,-",Pas d'information,68 930 km,Boîte manuelle,06/2019,Essence,- kW (- CH),,
19,Volkswagen up! ,up 1.0 60ch Série cup 5p,"€ 8 990,-",Pas d'information,16 102 km,Boîte manuelle,01/2014,Essence,- kW (- CH),,
20,Volkswagen up! ,e-up! électrique 82ch - Garantie 1 an,"€ 9 990,-",Pas d'information,39 500 km,Boîte automatique,05/2015,Electrique,- kW (- CH),,
21,Volkswagen up! ,1.0i BY MANGO / Airco / Gps / Alcantara /Bluetooth,"€ 6 490,-",Prix correct,148 000 km,Boîte manuelle,11/2015,Essence,44 kW (60 CH),,
22,Volkswagen up! ,1.0 75 ! Club,"€ 7 990,-",Bon prix,46 600 km,Boîte manuelle,05/2015,Essence,55 kW (75 CH),,
23,Volkswagen up! ,1.0i Comfort * A/C * V/E * 193 X 48 Mois,"€ 7 490,-",Bon prix,109 367 km,Boîte manuelle,08/2017,Essence,44 kW (60 CH),,
