,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Volvo C30 ,D2 115CH KINETIC,"€ 7 400,-",Pas d'information,149 312 km,Boîte manuelle,09/2011,Diesel,- kW (- CH),,
1,Volvo C30 ,*2-PROPRIETAIRES*HISTORIQUE-ENTRETIEN*AIR-CO*,"€ 3 990,-",Pas d'information,112 000 km,Boîte manuelle,04/2008,Diesel,80 kW (109 CH),,
2,Volvo C30 ,2.0 D 136CH KINETIC POWERSHIFT,"€ 8 490,-",Pas d'information,135 844 km,- Boîte,06/2010,Diesel,101 kW (137 CH),,
3,Volvo C30 ,1.8F 125 Momentum Flexifuel,"€ 9 500,-",Pas d'information,82 000 km,Boîte manuelle,07/2007,Ethanol,92 kW (125 CH),,
4,Volvo C30 ,Summum,"€ 8 999,-",Pas d'information,156 950 km,Boîte automatique,12/2011,Diesel,110 kW (150 CH),,
5,Volvo C30 ,1.6 d 110cv “ kinétic ” 2007,"€ 3 300,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
6,Volvo C30 ,2.0D 136,"€ 4 000,-",Pas d'information,195 000 km,Boîte manuelle,06/2009,Diesel,100 kW (136 CH),,
7,Volvo C30 ,1.6 D DRIVe Start/Stop Kinetic*CLIM DIGI*JANTES*,"€ 3 950,-",Pas d'information,238 000 km,Boîte manuelle,07/2010,Diesel,80 kW (109 CH),,
8,Volvo C30 ,1.6l HDi,"€ 1 800,-",Pas d'information,237 000 km,Boîte manuelle,12/2007,Diesel,81 kW (110 CH),,
9,Volvo C30 ,2.0 D 136CH SUMMUM,"€ 5 490,-",Pas d'information,146 000 km,Boîte manuelle,06/2008,Diesel,101 kW (137 CH),,
10,Volvo C30 ,2.0D 136 Momentum,"€ 4 490,-",Pas d'information,250 000 km,Boîte manuelle,03/2007,Diesel,100 kW (136 CH),,
11,Volvo C30 ,D2 115CH MOMENTUM,"€ 6 990,-",Pas d'information,174 935 km,Boîte manuelle,02/2013,Diesel,86 kW (117 CH),,
12,Volvo C30 ,D2 115 R-DESIGN,"€ 9 450,-",Pas d'information,124 500 km,Boîte manuelle,02/2012,Diesel,- kW (- CH),,
